cod_local	Branco	CLAUDINEI SAMPAIO	DR. SILVIO CABRAL	MARCEL MUSCAT	Nulo	QUINZINHO PEDROSO	ROGÉRIO FRANCO	WELINGTON FORMIGA	ZÉ DO BONÉ	vencedor	v_valid	e_apto	e_comp	e_abst	CLAUDINEI SAMPAIO_%	DR. SILVIO CABRAL_%	MARCEL MUSCAT_%	QUINZINHO PEDROSO_%	ROGÉRIO FRANCO_%	WELINGTON FORMIGA_%	ZÉ DO BONÉ_%	longitude	latitude
L05188	7,00	0,00	1,00	5,00	9,00	0,00	49,00	43,00	3,00	ROGÉRIO FRANCO	101,00	161	117	44	0,00	0,99	4,95	0,00	48,51	42,57	2,97	-46,9121525	-23,6050240
L05189	36,00	0,00	8,00	10,00	60,00	0,00	316,00	387,00	29,00	WELINGTON FORMIGA	750,00	1045	846	199	0,00	1,07	1,33	0,00	42,13	51,60	3,87	-46,9180778	-23,6092968
L05190	58,00	0,00	22,00	15,00	57,00	0,00	301,00	355,00	17,00	WELINGTON FORMIGA	710,00	1056	825	231	0,00	3,10	2,11	0,00	42,39	50,00	2,39	-46,9217739	-23,6091505
L05191	420,00	2,00	334,00	204,00	608,00	14,00	1783,00	997,00	46,00	ROGÉRIO FRANCO	3380,00	6683	4408	2275	0,06	9,88	6,04	0,41	52,75	29,50	1,36	-46,8390738	-23,5950788
L05192	213,00	1,00	209,00	147,00	370,00	5,00	1236,00	359,00	20,00	ROGÉRIO FRANCO	1977,00	3707	2560	1147	0,05	10,57	7,44	0,25	62,52	18,16	1,01	-46,8631937	-23,5945320
L05193	244,00	0,00	100,00	102,00	377,00	5,00	1776,00	1934,00	44,00	WELINGTON FORMIGA	3961,00	6352	4582	1770	0,00	2,52	2,58	0,13	44,84	48,83	1,11	-46,9261424	-23,6070736
L05194	169,00	4,00	64,00	49,00	199,00	2,00	1059,00	1242,00	36,00	WELINGTON FORMIGA	2456,00	3655	2824	831	0,16	2,61	2,00	0,08	43,12	50,57	1,47	-46,9070145	-23,5955904
L05195	148,00	5,00	84,00	44,00	224,00	1,00	784,00	417,00	15,00	ROGÉRIO FRANCO	1350,00	2272	1722	550	0,37	6,22	3,26	0,07	58,07	30,89	1,11	-46,8161498	-23,5910620
L05196	59,00	0,00	27,00	38,00	113,00	2,00	509,00	504,00	9,00	ROGÉRIO FRANCO	1089,00	1583	1261	322	0,00	2,48	3,49	0,18	46,74	46,28	0,83	-46,9291070	-23,6200626
L05197	148,00	1,00	67,00	43,00	231,00	3,00	1034,00	1156,00	42,00	WELINGTON FORMIGA	2346,00	3581	2725	856	0,04	2,86	1,83	0,13	44,08	49,28	1,79	-46,9107336	-23,6046372
L05198	139,00	0,00	51,00	33,00	220,00	3,00	840,00	516,00	24,00	ROGÉRIO FRANCO	1467,00	2424	1826	598	0,00	3,48	2,25	0,20	57,26	35,17	1,64	-46,8200597	-23,5863506
L05199	85,00	0,00	23,00	36,00	150,00	2,00	666,00	756,00	28,00	WELINGTON FORMIGA	1511,00	2214	1746	468	0,00	1,52	2,38	0,13	44,08	50,03	1,85	-46,9309921	-23,6118204
L05200	85,00	0,00	31,00	16,00	146,00	0,00	415,00	578,00	16,00	WELINGTON FORMIGA	1056,00	1656	1287	369	0,00	2,94	1,52	0,00	39,30	54,73	1,52	-46,8802116	-23,5992447
L05201	148,00	0,00	67,00	63,00	185,00	1,00	1214,00	1438,00	31,00	WELINGTON FORMIGA	2814,00	3872	3147	725	0,00	2,38	2,24	0,04	43,14	51,10	1,10	-46,9373874	-23,6195813
L05202	200,00	5,00	87,00	59,00	316,00	4,00	1554,00	1600,00	49,00	WELINGTON FORMIGA	3358,00	5278	3874	1404	0,15	2,59	1,76	0,12	46,28	47,65	1,46	-46,9085445	-23,6009928
L05203	182,00	4,00	36,00	39,00	268,00	4,00	1144,00	1304,00	30,00	WELINGTON FORMIGA	2561,00	3943	3011	932	0,16	1,41	1,52	0,16	44,67	50,92	1,17	-46,8756714	-23,6018150
L05204	88,00	0,00	64,00	21,00	161,00	2,00	535,00	339,00	10,00	ROGÉRIO FRANCO	971,00	1650	1220	430	0,00	6,59	2,16	0,21	55,10	34,91	1,03	-46,8462846	-23,5894198
L05205	137,00	0,00	81,00	43,00	239,00	4,00	677,00	743,00	26,00	WELINGTON FORMIGA	1574,00	2471	1950	521	0,00	5,15	2,73	0,25	43,01	47,20	1,65	-46,8919929	-23,6036479
L05206	82,00	0,00	45,00	46,00	228,00	2,00	586,00	507,00	14,00	ROGÉRIO FRANCO	1200,00	2048	1510	538	0,00	3,75	3,83	0,17	48,83	42,25	1,17	-46,8554244	-23,6027864
L05207	83,00	0,00	30,00	12,00	91,00	2,00	697,00	1021,00	12,00	WELINGTON FORMIGA	1774,00	2489	1948	541	0,00	1,69	0,68	0,11	39,29	57,55	0,68	-46,9150347	-23,5973565
L05208	193,00	2,00	50,00	67,00	236,00	1,00	1175,00	1443,00	41,00	WELINGTON FORMIGA	2779,00	3987	3208	779	0,07	1,80	2,41	0,04	42,28	51,93	1,48	-46,9306414	-23,6087627
L05209	194,00	1,00	108,00	71,00	365,00	2,00	1181,00	788,00	39,00	ROGÉRIO FRANCO	2190,00	4305	2749	1556	0,05	4,93	3,24	0,09	53,93	35,98	1,78	-46,8381782	-23,5942303
L05210	128,00	2,00	55,00	30,00	235,00	5,00	1007,00	1110,00	62,00	WELINGTON FORMIGA	2271,00	3480	2634	846	0,09	2,42	1,32	0,22	44,34	48,88	2,73	-46,9198313	-23,6074634
L05211	18,00	0,00	5,00	3,00	21,00	0,00	90,00	137,00	0,00	WELINGTON FORMIGA	235,00	312	274	38	0,00	2,13	1,28	0,00	38,30	58,30	0,00	-46,8965555	-23,6070888
L05212	142,00	0,00	12,00	11,00	182,00	11,00	1086,00	218,00	13,00	ROGÉRIO FRANCO	1351,00	2162	1675	487	0,00	0,89	0,81	0,81	80,38	16,14	0,96	-46,9150877	-23,6871013
L05213	53,00	0,00	38,00	18,00	74,00	0,00	195,00	200,00	6,00	WELINGTON FORMIGA	457,00	768	584	184	0,00	8,32	3,94	0,00	42,67	43,76	1,31	-46,8361040	-23,6130260
L05214	233,00	0,00	30,00	29,00	374,00	9,00	1786,00	2071,00	29,00	WELINGTON FORMIGA	3954,00	5674	4561	1113	0,00	0,76	0,73	0,23	45,17	52,38	0,73	-46,9181818	-23,5798883
L05215	148,00	0,00	74,00	39,00	228,00	2,00	754,00	646,00	21,00	ROGÉRIO FRANCO	1536,00	2478	1912	566	0,00	4,82	2,54	0,13	49,09	42,06	1,37	-46,8556618	-23,6024939
L05216	112,00	3,00	61,00	48,00	182,00	0,00	725,00	895,00	20,00	WELINGTON FORMIGA	1752,00	2617	2046	571	0,17	3,48	2,74	0,00	41,38	51,08	1,14	-46,9108961	-23,6051852
L05217	20,00	0,00	7,00	6,00	34,00	0,00	172,00	175,00	7,00	WELINGTON FORMIGA	367,00	517	421	96	0,00	1,91	1,63	0,00	46,87	47,68	1,91	-46,9216569	-23,6128183
L05218	21,00	0,00	5,00	6,00	23,00	0,00	123,00	77,00	2,00	ROGÉRIO FRANCO	213,00	346	257	89	0,00	2,35	2,82	0,00	57,75	36,15	0,94	-46,8176283	-23,5858809
L05219	56,00	1,00	24,00	21,00	78,00	0,00	356,00	500,00	5,00	WELINGTON FORMIGA	907,00	1322	1041	281	0,11	2,65	2,32	0,00	39,25	55,13	0,55	-46,9233205	-23,6060542
L05220	39,00	1,00	6,00	11,00	59,00	0,00	255,00	228,00	3,00	ROGÉRIO FRANCO	504,00	753	602	151	0,20	1,19	2,18	0,00	50,60	45,24	0,60	-47,0408951	-23,6693666
L05221	135,00	1,00	87,00	48,00	204,00	0,00	634,00	705,00	13,00	WELINGTON FORMIGA	1488,00	2423	1827	596	0,07	5,85	3,23	0,00	42,61	47,38	0,87	-46,8377399	-23,6141303
L05222	88,00	0,00	33,00	41,00	127,00	0,00	713,00	889,00	14,00	WELINGTON FORMIGA	1690,00	2321	1905	416	0,00	1,95	2,43	0,00	42,19	52,60	0,83	-46,9375178	-23,6194593
L05223	128,00	0,00	70,00	47,00	219,00	0,00	724,00	756,00	29,00	WELINGTON FORMIGA	1626,00	2565	1973	592	0,00	4,31	2,89	0,00	44,53	46,49	1,78	-46,9040650	-23,5969460
L05224	24,00	0,00	2,00	7,00	38,00	0,00	153,00	182,00	3,00	WELINGTON FORMIGA	347,00	491	409	82	0,00	0,58	2,02	0,00	44,09	52,45	0,86	-46,9367869	-23,6335921
L05225	14,00	0,00	0,00	2,00	16,00	1,00	86,00	107,00	10,00	WELINGTON FORMIGA	206,00	274	236	38	0,00	0,00	0,97	0,49	41,75	51,94	4,85	-46,9125499	-23,6097978
