cod_local	Branco	DIEGO HERNANDEZ	DR NIVALDO	EDUARDO BUENO	JOÃO MIGUEL	Nulo	PABLO CUNHA	PROFESSOR EDMILSON	VALDIR	vencedor	v_valid	e_apto	e_comp	e_abst	DIEGO HERNANDEZ_%	DR NIVALDO_%	EDUARDO BUENO_%	JOÃO MIGUEL_%	PABLO CUNHA_%	PROFESSOR EDMILSON_%	VALDIR_%	longitude	latitude
L04454	150,00	220,00	1090,00	43,00	8,00	262,00	133,00	4,00	123,00	DR NIVALDO	1621,00	2760	2033	727	13,57	67,24	2,65	0,49	8,20	0,25	7,59	-46,7470261	-23,3271359
L04459	138,00	396,00	915,00	24,00	20,00	262,00	232,00	14,00	396,00	DR NIVALDO	1997,00	3117	2397	720	19,83	45,82	1,20	1,00	11,62	0,70	19,83	-46,7156394	-23,3319003
L04460	284,00	308,00	1643,00	18,00	35,00	452,00	380,00	42,00	378,00	DR NIVALDO	2804,00	4594	3540	1054	10,98	58,59	0,64	1,25	13,55	1,50	13,48	-46,7309560	-23,3226810
L04461	334,00	841,00	2559,00	106,00	70,00	625,00	434,00	45,00	933,00	DR NIVALDO	4988,00	8875	5947	2928	16,86	51,30	2,13	1,40	8,70	0,90	18,70	-46,7265455	-23,3324005
L04468	208,00	351,00	1196,00	16,00	17,00	281,00	132,00	10,00	884,00	DR NIVALDO	2606,00	3935	3095	840	13,47	45,89	0,61	0,65	5,07	0,38	33,92	-46,7062725	-23,3262240
L04469	309,00	266,00	1770,00	11,00	15,00	406,00	181,00	31,00	376,00	DR NIVALDO	2650,00	4478	3365	1113	10,04	66,79	0,42	0,57	6,83	1,17	14,19	-46,7288875	-23,3136511
L04470	190,00	227,00	1574,00	20,00	16,00	388,00	242,00	28,00	484,00	DR NIVALDO	2591,00	4046	3169	877	8,76	60,75	0,77	0,62	9,34	1,08	18,68	-46,7374196	-23,3177022
L04471	95,00	354,00	749,00	0,00	5,00	177,00	49,00	8,00	303,00	DR NIVALDO	1468,00	2312	1740	572	24,11	51,02	0,00	0,34	3,34	0,54	20,64	-46,6982300	-23,3251611
L04472	228,00	352,00	1581,00	32,00	26,00	481,00	244,00	36,00	553,00	DR NIVALDO	2824,00	4916	3533	1383	12,46	55,98	1,13	0,92	8,64	1,27	19,58	-46,7288870	-23,3175250
L04475	166,00	407,00	1015,00	29,00	22,00	294,00	172,00	12,00	479,00	DR NIVALDO	2136,00	3625	2596	1029	19,05	47,52	1,36	1,03	8,05	0,56	22,43	-46,7167480	-23,3318170
L04477	215,00	254,00	1793,00	26,00	32,00	361,00	215,00	38,00	402,00	DR NIVALDO	2760,00	4261	3336	925	9,20	64,96	0,94	1,16	7,79	1,38	14,57	-46,7232223	-23,3115866
L04478	110,00	94,00	534,00	3,00	11,00	113,00	66,00	6,00	115,00	DR NIVALDO	829,00	1301	1052	249	11,34	64,41	0,36	1,33	7,96	0,72	13,87	-46,7192240	-23,3028970
L04479	252,00	285,00	1338,00	13,00	11,00	360,00	171,00	32,00	473,00	DR NIVALDO	2323,00	3907	2935	972	12,27	57,60	0,56	0,47	7,36	1,38	20,36	-46,7137465	-23,3200043
L04480	195,00	374,00	1322,00	53,00	41,00	371,00	261,00	33,00	547,00	DR NIVALDO	2631,00	4267	3197	1070	14,22	50,25	2,01	1,56	9,92	1,25	20,79	-46,7192863	-23,3278265
L04481	155,00	163,00	946,00	21,00	2,00	248,00	69,00	8,00	253,00	DR NIVALDO	1462,00	2498	1865	633	11,15	64,71	1,44	0,14	4,72	0,55	17,31	-46,7070249	-23,2985539
L04482	219,00	244,00	1168,00	2,00	14,00	255,00	97,00	32,00	141,00	DR NIVALDO	1698,00	2865	2172	693	14,37	68,79	0,12	0,82	5,71	1,88	8,30	-46,7599028	-23,2987451
L04484	24,00	79,00	159,00	3,00	1,00	32,00	47,00	4,00	51,00	DR NIVALDO	344,00	529	400	129	22,97	46,22	0,87	0,29	13,66	1,16	14,83	-46,7164309	-23,3318294
L04485	53,00	46,00	191,00	4,00	3,00	76,00	33,00	6,00	28,00	DR NIVALDO	311,00	614	440	174	14,79	61,41	1,29	0,96	10,61	1,93	9,00	-46,7600078	-23,3180950
L04486	141,00	224,00	985,00	12,00	18,00	288,00	161,00	27,00	343,00	DR NIVALDO	1770,00	2917	2199	718	12,66	55,65	0,68	1,02	9,10	1,53	19,38	-46,7289732	-23,3183264
L04487	201,00	428,00	1614,00	32,00	34,00	467,00	330,00	45,00	731,00	DR NIVALDO	3214,00	5215	3882	1333	13,32	50,22	1,00	1,06	10,27	1,40	22,74	-46,7138581	-23,3238825
L04488	144,00	202,00	1023,00	7,00	12,00	236,00	162,00	11,00	302,00	DR NIVALDO	1719,00	2748	2099	649	11,75	59,51	0,41	0,70	9,42	0,64	17,57	-46,7131584	-23,2992386
L04489	118,00	106,00	785,00	13,00	14,00	143,00	79,00	10,00	109,00	DR NIVALDO	1116,00	1708	1377	331	9,50	70,34	1,16	1,25	7,08	0,90	9,77	-46,7244002	-23,3033804
L04490	200,00	303,00	1115,00	6,00	9,00	303,00	173,00	8,00	179,00	DR NIVALDO	1793,00	3155	2296	859	16,90	62,19	0,33	0,50	9,65	0,45	9,98	-46,7520908	-23,3261192
L04491	219,00	202,00	1721,00	13,00	15,00	382,00	201,00	17,00	291,00	DR NIVALDO	2460,00	3923	3061	862	8,21	69,96	0,53	0,61	8,17	0,69	11,83	-46,7287945	-23,3067878
L04492	133,00	161,00	812,00	39,00	15,00	221,00	168,00	17,00	232,00	DR NIVALDO	1444,00	2342	1798	544	11,15	56,23	2,70	1,04	11,63	1,18	16,07	-46,7368940	-23,3300545
L04493	156,00	344,00	1267,00	12,00	17,00	332,00	133,00	19,00	881,00	DR NIVALDO	2673,00	3944	3161	783	12,87	47,40	0,45	0,64	4,98	0,71	32,96	-46,7034265	-23,3249477
L04494	74,00	126,00	577,00	12,00	6,00	141,00	44,00	6,00	88,00	DR NIVALDO	859,00	1321	1074	247	14,67	67,17	1,40	0,70	5,12	0,70	10,24	-46,7463514	-23,3063525
L04495	30,00	57,00	242,00	7,00	3,00	55,00	37,00	4,00	85,00	DR NIVALDO	435,00	816	520	296	13,10	55,63	1,61	0,69	8,51	0,92	19,54	-46,7263985	-23,3310551
L04496	100,00	111,00	526,00	7,00	12,00	159,00	94,00	19,00	222,00	DR NIVALDO	991,00	1582	1250	332	11,20	53,08	0,71	1,21	9,49	1,92	22,40	-46,7161946	-23,3164017
L04497	215,00	224,00	1355,00	20,00	16,00	365,00	201,00	30,00	538,00	DR NIVALDO	2384,00	3816	2964	852	9,40	56,84	0,84	0,67	8,43	1,26	22,57	-46,7100530	-23,3184947
L04507	125,00	325,00	1035,00	30,00	28,00	234,00	230,00	26,00	337,00	DR NIVALDO	2011,00	3237	2370	867	16,16	51,47	1,49	1,39	11,44	1,29	16,76	-46,7204651	-23,3350997
L04509	0,00	3,00	9,00	1,00	0,00	0,00	1,00	2,00	3,00	DR NIVALDO	19,00	117	19	98	15,79	47,37	5,26	0,00	5,26	10,53	15,79	-46,7233237	-23,3363000
