cod_local	Branco	CARLOS SACOMANI BANANA	CLOVIS VOLPI	KIKO	MARISA DA CASAS PRÓPRIAS	Nulo	PROF FELIPE MAGALHÃES	vencedor	v_valid	e_apto	e_comp	e_abst	CARLOS SACOMANI BANANA_%	CLOVIS VOLPI_%	KIKO_%	MARISA DA CASAS PRÓPRIAS_%	PROF FELIPE MAGALHÃES_%	longitude	latitude
L04187	92	17	563	423	118	150	137	CLOVIS VOLPI	1258	2112	1500	612	1,35	44,75	33,62	9,38	10,89	-46,4133491	-23,7109861
L04188	217	52	1087	916	148	389	192	CLOVIS VOLPI	2395	3820	3001	819	2,17	45,39	38,25	6,18	8,02	-46,4315564	-23,6947299
L04189	66	37	490	300	87	136	103	CLOVIS VOLPI	1017	1508	1219	289	3,64	48,18	29,50	8,55	10,13	-46,4253910	-23,7034609
L04190	43	19	408	206	38	110	66	CLOVIS VOLPI	737	1080	890	190	2,58	55,36	27,95	5,16	8,96	-46,4334859	-23,7066142
L04191	159	77	1206	683	191	274	209	CLOVIS VOLPI	2366	4177	2799	1378	3,25	50,97	28,87	8,07	8,83	-46,4042130	-23,7107790
L04192	78	28	640	335	88	176	125	CLOVIS VOLPI	1216	1979	1470	509	2,30	52,63	27,55	7,24	10,28	-46,4077570	-23,6996264
L04193	96	103	759	535	128	246	168	CLOVIS VOLPI	1693	2560	2035	525	6,08	44,83	31,60	7,56	9,92	-46,3922839	-23,6967820
L04194	135	55	775	573	139	240	149	CLOVIS VOLPI	1691	2622	2066	556	3,25	45,83	33,89	8,22	8,81	-46,3893940	-23,7115049
L04195	63	43	638	324	100	147	90	CLOVIS VOLPI	1195	1750	1405	345	3,60	53,39	27,11	8,37	7,53	-46,4333438	-23,7067628
L04196	152	79	952	650	194	247	171	CLOVIS VOLPI	2046	3394	2445	949	3,86	46,53	31,77	9,48	8,36	-46,3974190	-23,7075510
L04197	261	186	1775	1234	308	442	325	CLOVIS VOLPI	3828	5826	4531	1295	4,86	46,37	32,24	8,05	8,49	-46,3898385	-23,6912630
L04198	163	64	785	672	125	223	103	CLOVIS VOLPI	1749	2704	2135	569	3,66	44,88	38,42	7,15	5,89	-46,3692090	-23,6589453
L04199	70	23	436	292	59	104	51	CLOVIS VOLPI	861	1291	1035	256	2,67	50,64	33,91	6,85	5,92	-46,3608767	-23,7080268
L04200	204	28	871	686	185	395	180	CLOVIS VOLPI	1950	3300	2549	751	1,44	44,67	35,18	9,49	9,23	-46,4166922	-23,6842644
L04201	164	42	985	538	127	164	152	CLOVIS VOLPI	1844	2853	2172	681	2,28	53,42	29,18	6,89	8,24	-46,3601464	-23,6848485
L04202	207	65	977	1047	151	271	150	KIKO	2390	3748	2868	880	2,72	40,88	43,81	6,32	6,28	-46,3695608	-23,6523401
L04203	244	46	976	1082	127	491	264	KIKO	2495	4135	3230	905	1,84	39,12	43,37	5,09	10,58	-46,4372270	-23,6916086
L04204	209	56	1642	903	237	334	209	CLOVIS VOLPI	3047	4887	3590	1297	1,84	53,89	29,64	7,78	6,86	-46,3704210	-23,6836850
