cod_local	AIACYDA	ALADIM	Branco	DONA FRANCISCA	JOSÉ HÉLIO	MAJOR PAULO	MANOELINO CORDEIRO	Nulo	SOLANGE THEODORO	vencedor	v_valid	e_apto	e_comp	e_abst	AIACYDA_%	ALADIM_%	DONA FRANCISCA_%	JOSÉ HÉLIO_%	MAJOR PAULO_%	MANOELINO CORDEIRO_%	SOLANGE THEODORO_%	longitude	latitude
L03938	358,00	527,00	53,00	8,00	0,00	76,00	6,00	103,00	7,00	ALADIM	982,00	1456	1138	318	36,46	53,67	0,81	0,00	7,74	0,61	0,71	-46,6460688	-23,2889527
L05335	521,00	629,00	45,00	29,00	4,00	186,00	6,00	81,00	9,00	ALADIM	1384,00	2138	1510	628	37,64	45,45	2,10	0,29	13,44	0,43	0,65	-46,5915298	-23,3244220
L05336	433,00	263,00	47,00	46,00	0,00	81,00	2,00	59,00	7,00	AIACYDA	832,00	1334	938	396	52,04	31,61	5,53	0,00	9,74	0,24	0,84	-46,6330630	-23,3852005
L05337	203,00	234,00	21,00	12,00	0,00	58,00	1,00	41,00	4,00	ALADIM	512,00	746	574	172	39,65	45,70	2,34	0,00	11,33	0,20	0,78	-46,5754440	-23,3266774
L05338	774,00	1118,00	84,00	43,00	10,00	259,00	12,00	152,00	20,00	ALADIM	2236,00	3250	2472	778	34,62	50,00	1,92	0,45	11,58	0,54	0,89	-46,5722173	-23,3107831
L05339	725,00	986,00	74,00	23,00	9,00	207,00	14,00	131,00	15,00	ALADIM	1979,00	2877	2184	693	36,63	49,82	1,16	0,45	10,46	0,71	0,76	-46,5877846	-23,3266902
L05340	476,00	808,00	57,00	17,00	1,00	73,00	2,00	93,00	7,00	ALADIM	1384,00	1974	1534	440	34,39	58,38	1,23	0,07	5,27	0,14	0,51	-46,5906345	-23,2716104
L05341	753,00	665,00	118,00	80,00	2,00	194,00	1,00	137,00	19,00	AIACYDA	1714,00	2779	1969	810	43,93	38,80	4,67	0,12	11,32	0,06	1,11	-46,6325550	-23,3848186
L05342	486,00	582,00	76,00	44,00	1,00	125,00	6,00	89,00	8,00	ALADIM	1252,00	1933	1417	516	38,82	46,49	3,51	0,08	9,98	0,48	0,64	-46,6599913	-23,3411719
L05343	329,00	457,00	33,00	14,00	1,00	83,00	7,00	69,00	6,00	ALADIM	897,00	1263	999	264	36,68	50,95	1,56	0,11	9,25	0,78	0,67	-46,5755852	-23,3382444
L05344	583,00	941,00	71,00	36,00	2,00	153,00	4,00	116,00	14,00	ALADIM	1733,00	2643	1920	723	33,64	54,30	2,08	0,12	8,83	0,23	0,81	-46,5659638	-23,3035285
L05345	842,00	1144,00	100,00	33,00	2,00	107,00	6,00	171,00	11,00	ALADIM	2145,00	3210	2416	794	39,25	53,33	1,54	0,09	4,99	0,28	0,51	-46,5877068	-23,2631408
L05346	963,00	1200,00	88,00	49,00	2,00	294,00	18,00	162,00	35,00	ALADIM	2561,00	4091	2811	1280	37,60	46,86	1,91	0,08	11,48	0,70	1,37	-46,5888397	-23,3189368
L05347	877,00	1038,00	72,00	71,00	3,00	300,00	25,00	171,00	17,00	ALADIM	2331,00	3492	2574	918	37,62	44,53	3,05	0,13	12,87	1,07	0,73	-46,5882908	-23,3141009
L05348	243,00	505,00	43,00	14,00	1,00	103,00	22,00	58,00	7,00	ALADIM	895,00	1282	996	286	27,15	56,42	1,56	0,11	11,51	2,46	0,78	-46,5833274	-23,3281805
L05349	430,00	985,00	84,00	16,00	5,00	145,00	6,00	121,00	14,00	ALADIM	1601,00	2388	1806	582	26,86	61,52	1,00	0,31	9,06	0,37	0,87	-46,5763771	-23,3175491
L05350	155,00	454,00	19,00	9,00	0,00	26,00	1,00	38,00	5,00	ALADIM	650,00	943	707	236	23,85	69,85	1,38	0,00	4,00	0,15	0,77	-46,5452403	-23,3478246
L05351	316,00	479,00	45,00	19,00	2,00	123,00	1,00	71,00	10,00	ALADIM	950,00	1411	1066	345	33,26	50,42	2,00	0,21	12,95	0,11	1,05	-46,6164272	-23,3616694
L05352	416,00	580,00	38,00	21,00	4,00	67,00	0,00	55,00	9,00	ALADIM	1097,00	1587	1190	397	37,92	52,87	1,91	0,36	6,11	0,00	0,82	-46,5332635	-23,3167878
L05353	313,00	180,00	45,00	41,00	2,00	113,00	1,00	60,00	16,00	AIACYDA	666,00	1123	771	352	47,00	27,03	6,16	0,30	16,97	0,15	2,40	-46,6230458	-23,3725954
L05354	351,00	318,00	33,00	13,00	2,00	112,00	4,00	44,00	8,00	AIACYDA	808,00	1151	885	266	43,44	39,36	1,61	0,25	13,86	0,50	0,99	-46,5251471	-23,2795488
L05355	238,00	294,00	23,00	16,00	0,00	101,00	3,00	44,00	4,00	ALADIM	656,00	920	723	197	36,28	44,82	2,44	0,00	15,40	0,46	0,61	-46,5921029	-23,3246363
L05356	357,00	605,00	31,00	32,00	1,00	118,00	5,00	70,00	14,00	ALADIM	1132,00	1761	1233	528	31,54	53,45	2,83	0,09	10,42	0,44	1,24	-46,5883950	-23,3197369
L05357	247,00	188,00	60,00	33,00	1,00	55,00	0,00	86,00	2,00	AIACYDA	526,00	888	672	216	46,96	35,74	6,27	0,19	10,46	0,00	0,38	-46,6563144	-23,4298322
L05358	654,00	913,00	63,00	77,00	1,00	259,00	10,00	133,00	15,00	ALADIM	1929,00	2852	2125	727	33,90	47,33	3,99	0,05	13,43	0,52	0,78	-46,5928417	-23,3238783
