cod_local	Branco	DR HENRIQUE APPARICIO	DRA AMANDA HORATORIO	EDIMAR SALEM	LUIZ TEIXEIRA	MARCOS NEVES	Nulo	NÉIA COSTA	PROF RICARDO MARCUSSO	PROFESSORA SÔNIA	SERGIO RIBEIRO	VASQUINHO GAMA	WILLIAM TEIXEIRA	vencedor	v_valid	e_apto	e_comp	e_abst	DR HENRIQUE APPARICIO_%	DRA AMANDA HORATORIO_%	EDIMAR SALEM_%	LUIZ TEIXEIRA_%	MARCOS NEVES_%	NÉIA COSTA_%	PROF RICARDO MARCUSSO_%	PROFESSORA SÔNIA_%	SERGIO RIBEIRO_%	VASQUINHO GAMA_%	WILLIAM TEIXEIRA_%	longitude	latitude
L07246	255,00	11,00	34,00	8,00	14,00	2982,00	371,00	109,00	38,00	524,00	194,00	44,00	3,00	MARCOS NEVES	3961,00	6552	4587	1965	0,28	0,86	0,20	0,35	75,28	2,75	0,96	13,23	4,90	1,11	0,08	-46,8297368	-23,5356589
L07247	183,00	10,00	32,00	1,00	2,00	1355,00	234,00	88,00	27,00	389,00	174,00	16,00	1,00	MARCOS NEVES	2095,00	3680	2512	1168	0,48	1,53	0,05	0,10	64,68	4,20	1,29	18,57	8,31	0,76	0,05	-46,8242615	-23,5249586
L07248	231,00	26,00	83,00	4,00	4,00	2964,00	398,00	88,00	88,00	490,00	324,00	73,00	4,00	MARCOS NEVES	4148,00	7577	4777	2800	0,63	2,00	0,10	0,10	71,46	2,12	2,12	11,81	7,81	1,76	0,10	-46,8379425	-23,5192246
L07249	196,00	6,00	41,00	4,00	11,00	2273,00	268,00	57,00	38,00	260,00	226,00	48,00	5,00	MARCOS NEVES	2969,00	4705	3433	1272	0,20	1,38	0,13	0,37	76,56	1,92	1,28	8,76	7,61	1,62	0,17	-46,8219162	-23,5395049
L09602	327,00	12,00	40,00	33,00	7,00	3188,00	413,00	134,00	64,00	419,00	321,00	59,00	10,00	MARCOS NEVES	4287,00	7127	5027	2100	0,28	0,93	0,77	0,16	74,36	3,13	1,49	9,77	7,49	1,38	0,23	-46,8347526	-23,5443126
L09603	376,00	24,00	72,00	5,00	0,00	2845,00	538,00	87,00	95,00	524,00	194,00	77,00	5,00	MARCOS NEVES	3928,00	6642	4842	1800	0,61	1,83	0,13	0,00	72,43	2,21	2,42	13,34	4,94	1,96	0,13	-46,8259136	-23,5699415
L09604	200,00	8,00	27,00	10,00	2,00	2453,00	267,00	91,00	45,00	365,00	237,00	50,00	2,00	MARCOS NEVES	3290,00	5127	3757	1370	0,24	0,82	0,30	0,06	74,56	2,77	1,37	11,09	7,20	1,52	0,06	-46,8291789	-23,5449730
L09605	205,00	3,00	24,00	4,00	0,00	1742,00	224,00	80,00	32,00	231,00	153,00	23,00	4,00	MARCOS NEVES	2296,00	3855	2725	1130	0,13	1,05	0,17	0,00	75,87	3,48	1,39	10,06	6,66	1,00	0,17	-46,8516173	-23,5354320
L09606	244,00	7,00	42,00	3,00	7,00	2613,00	320,00	105,00	34,00	464,00	218,00	66,00	5,00	MARCOS NEVES	3564,00	5702	4128	1574	0,20	1,18	0,08	0,20	73,32	2,95	0,95	13,02	6,12	1,85	0,14	-46,8405692	-23,5305760
L09607	124,00	3,00	28,00	2,00	0,00	989,00	150,00	33,00	24,00	188,00	83,00	15,00	0,00	MARCOS NEVES	1365,00	2304	1639	665	0,22	2,05	0,15	0,00	72,45	2,42	1,76	13,77	6,08	1,10	0,00	-46,8242137	-23,5450362
L09608	209,00	6,00	40,00	4,00	0,00	2100,00	256,00	203,00	25,00	363,00	269,00	45,00	6,00	MARCOS NEVES	3061,00	4748	3526	1222	0,20	1,31	0,13	0,00	68,61	6,63	0,82	11,86	8,79	1,47	0,20	-46,8305845	-23,5510307
L09609	407,00	10,00	143,00	2,00	0,00	3052,00	485,00	101,00	63,00	594,00	310,00	44,00	2,00	MARCOS NEVES	4321,00	7067	5213	1854	0,23	3,31	0,05	0,00	70,63	2,34	1,46	13,75	7,17	1,02	0,05	-46,8271422	-23,5608991
L09610	186,00	10,00	18,00	2,00	2,00	1601,00	232,00	83,00	19,00	247,00	148,00	44,00	1,00	MARCOS NEVES	2175,00	3500	2593	907	0,46	0,83	0,09	0,09	73,61	3,82	0,87	11,36	6,80	2,02	0,05	-46,8585421	-23,5316164
L09611	369,00	21,00	51,00	10,00	2,00	4346,00	506,00	351,00	44,00	601,00	395,00	41,00	28,00	MARCOS NEVES	5890,00	9101	6765	2336	0,36	0,87	0,17	0,03	73,79	5,96	0,75	10,20	6,71	0,70	0,48	-46,8417084	-23,5491435
L09612	286,00	14,00	34,00	9,00	5,00	3043,00	389,00	247,00	38,00	482,00	320,00	35,00	48,00	MARCOS NEVES	4275,00	6849	4950	1899	0,33	0,80	0,21	0,12	71,18	5,78	0,89	11,27	7,49	0,82	1,12	-46,8473178	-23,5476478
L09613	100,00	7,00	13,00	2,00	0,00	824,00	126,00	58,00	7,00	216,00	155,00	11,00	39,00	MARCOS NEVES	1332,00	2133	1558	575	0,53	0,98	0,15	0,00	61,86	4,35	0,53	16,22	11,64	0,83	2,93	-46,8483421	-23,5587177
L09614	149,00	3,00	24,00	0,00	0,00	1025,00	181,00	59,00	16,00	222,00	171,00	21,00	8,00	MARCOS NEVES	1549,00	2636	1879	757	0,19	1,55	0,00	0,00	66,17	3,81	1,03	14,33	11,04	1,36	0,52	-46,8243661	-23,5818486
L09615	229,00	14,00	56,00	4,00	0,00	2258,00	285,00	68,00	25,00	320,00	160,00	27,00	6,00	MARCOS NEVES	2938,00	4586	3452	1134	0,48	1,91	0,14	0,00	76,86	2,31	0,85	10,89	5,45	0,92	0,20	-46,8399311	-23,5607204
L09616	306,00	28,00	47,00	7,00	0,00	3097,00	420,00	152,00	24,00	470,00	317,00	48,00	71,00	MARCOS NEVES	4261,00	7123	4987	2136	0,66	1,10	0,16	0,00	72,68	3,57	0,56	11,03	7,44	1,13	1,67	-46,8471951	-23,5613996
L09617	333,00	7,00	47,00	1,00	1,00	1580,00	416,00	58,00	33,00	298,00	197,00	14,00	2,00	MARCOS NEVES	2238,00	4196	2987	1209	0,31	2,10	0,04	0,04	70,60	2,59	1,47	13,32	8,80	0,63	0,09	-46,8201381	-23,5729795
L09618	113,00	3,00	44,00	8,00	0,00	1156,00	165,00	52,00	15,00	283,00	183,00	11,00	3,00	MARCOS NEVES	1758,00	2688	2036	652	0,17	2,50	0,46	0,00	65,76	2,96	0,85	16,10	10,41	0,63	0,17	-46,8360920	-23,5659758
L09619	140,00	6,00	32,00	3,00	6,00	1654,00	213,00	122,00	12,00	267,00	197,00	32,00	0,00	MARCOS NEVES	2331,00	3536	2684	852	0,26	1,37	0,13	0,26	70,96	5,23	0,51	11,45	8,45	1,37	0,00	-46,8422873	-23,5377078
L09620	296,00	14,00	31,00	14,00	7,00	2846,00	338,00	240,00	55,00	453,00	457,00	33,00	5,00	MARCOS NEVES	4155,00	6662	4789	1873	0,34	0,75	0,34	0,17	68,50	5,78	1,32	10,90	11,00	0,79	0,12	-46,8405704	-23,5408212
