cod_local	Branco	DR LINDOSO	EMIDIO DE SOUZA	MARCO SOUZA DATENINHA	Nulo	REINALDO MOTA	ROGÉRIO LINS	SIMONY DOS ANJOS	vencedor	v_valid	e_apto	e_comp	e_abst	DR LINDOSO_%	EMIDIO DE SOUZA_%	MARCO SOUZA DATENINHA_%	REINALDO MOTA_%	ROGÉRIO LINS_%	SIMONY DOS ANJOS_%	longitude	latitude
L06557	249,00	705,00	474,00	11,00	480,00	16,00	2267,00	121,00	ROGÉRIO LINS	3594,00	6245	4323	1922	19,62	13,19	0,31	0,45	63,08	3,37	-46,7811232	-23,5182373
L06558	319,00	876,00	528,00	21,00	631,00	22,00	2483,00	142,00	ROGÉRIO LINS	4072,00	7137	5022	2115	21,51	12,97	0,52	0,54	60,98	3,49	-46,7642982	-23,5079997
L06559	230,00	515,00	271,00	13,00	385,00	7,00	1562,00	85,00	ROGÉRIO LINS	2453,00	4360	3068	1292	20,99	11,05	0,53	0,29	63,68	3,47	-46,7704809	-23,5182739
L06560	171,00	260,00	223,00	6,00	217,00	12,00	1113,00	36,00	ROGÉRIO LINS	1650,00	2762	2038	724	15,76	13,52	0,36	0,73	67,45	2,18	-46,7844325	-23,4788556
L06561	166,00	376,00	277,00	6,00	306,00	16,00	1288,00	73,00	ROGÉRIO LINS	2036,00	3361	2508	853	18,47	13,61	0,29	0,79	63,26	3,59	-46,7669489	-23,4991193
L06562	280,00	626,00	316,00	29,00	601,00	8,00	2203,00	101,00	ROGÉRIO LINS	3283,00	5988	4164	1824	19,07	9,63	0,88	0,24	67,10	3,08	-46,7576204	-23,5177314
L06563	319,00	829,00	526,00	19,00	578,00	25,00	2449,00	132,00	ROGÉRIO LINS	3980,00	6724	4877	1847	20,83	13,22	0,48	0,63	61,53	3,32	-46,7693024	-23,5083289
L06564	207,00	632,00	405,00	6,00	408,00	19,00	2199,00	105,00	ROGÉRIO LINS	3366,00	5256	3981	1275	18,78	12,03	0,18	0,56	65,33	3,12	-46,7839760	-23,5153403
L06565	307,00	843,00	422,00	6,00	497,00	13,00	2329,00	103,00	ROGÉRIO LINS	3716,00	5982	4520	1462	22,69	11,36	0,16	0,35	62,67	2,77	-46,7626679	-23,5013616
L06566	272,00	804,00	581,00	12,00	499,00	19,00	2644,00	108,00	ROGÉRIO LINS	4168,00	6748	4939	1809	19,29	13,94	0,29	0,46	63,44	2,59	-46,7796161	-23,5152503
L06567	43,00	96,00	146,00	1,00	103,00	6,00	474,00	10,00	ROGÉRIO LINS	733,00	1142	879	263	13,10	19,92	0,14	0,82	64,67	1,36	-46,7760817	-23,4874637
L06568	221,00	553,00	312,00	15,00	460,00	15,00	1966,00	118,00	ROGÉRIO LINS	2979,00	5134	3660	1474	18,56	10,47	0,50	0,50	66,00	3,96	-46,7675537	-23,5157132
L06569	9,00	22,00	17,00	0,00	13,00	1,00	96,00	5,00	ROGÉRIO LINS	141,00	214	163	51	15,60	12,06	0,00	0,71	68,09	3,55	-46,7678202	-23,5030127
L06570	149,00	251,00	224,00	2,00	287,00	5,00	977,00	56,00	ROGÉRIO LINS	1515,00	2619	1951	668	16,57	14,79	0,13	0,33	64,49	3,70	-46,7680894	-23,4974164
L06571	68,00	203,00	110,00	14,00	175,00	3,00	609,00	58,00	ROGÉRIO LINS	997,00	1622	1240	382	20,36	11,03	1,40	0,30	61,08	5,82	-46,8093049	-23,5413420
L06572	163,00	639,00	312,00	15,00	309,00	15,00	1259,00	97,00	ROGÉRIO LINS	2337,00	3877	2809	1068	27,34	13,35	0,64	0,64	53,87	4,15	-46,8111106	-23,5339293
L06573	292,00	695,00	397,00	36,00	459,00	22,00	2168,00	115,00	ROGÉRIO LINS	3433,00	6134	4184	1950	20,24	11,56	1,05	0,64	63,15	3,35	-46,8012880	-23,5434880
L06574	274,00	622,00	360,00	26,00	461,00	31,00	1895,00	334,00	ROGÉRIO LINS	3268,00	5696	4003	1693	19,03	11,02	0,80	0,95	57,99	10,22	-46,7947410	-23,5279590
L06575	330,00	996,00	452,00	35,00	600,00	35,00	2668,00	287,00	ROGÉRIO LINS	4473,00	7422	5403	2019	22,27	10,11	0,78	0,78	59,65	6,42	-46,8072777	-23,5372033
L06576	146,00	491,00	291,00	40,00	359,00	16,00	1596,00	125,00	ROGÉRIO LINS	2559,00	4766	3064	1702	19,19	11,37	1,56	0,63	62,37	4,88	-46,7930553	-23,5359633
L06577	268,00	829,00	489,00	34,00	494,00	27,00	2181,00	197,00	ROGÉRIO LINS	3757,00	6576	4519	2057	22,07	13,02	0,90	0,72	58,05	5,24	-46,7928300	-23,5455236
L06578	204,00	547,00	362,00	12,00	397,00	29,00	1428,00	161,00	ROGÉRIO LINS	2539,00	4649	3140	1509	21,54	14,26	0,47	1,14	56,24	6,34	-46,8050626	-23,5249271
L06579	137,00	407,00	192,00	17,00	251,00	22,00	1057,00	110,00	ROGÉRIO LINS	1805,00	2905	2193	712	22,55	10,64	0,94	1,22	58,56	6,09	-46,8051389	-23,5396170
L06580	118,00	442,00	233,00	31,00	299,00	19,00	1431,00	97,00	ROGÉRIO LINS	2253,00	3504	2670	834	19,62	10,34	1,38	0,84	63,52	4,31	-46,8029684	-23,5393826
L06581	171,00	438,00	260,00	12,00	276,00	14,00	1128,00	138,00	ROGÉRIO LINS	1990,00	3432	2437	995	22,01	13,07	0,60	0,70	56,68	6,93	-46,8093862	-23,5238239
L06582	126,00	212,00	141,00	3,00	182,00	10,00	908,00	43,00	ROGÉRIO LINS	1317,00	2100	1625	475	16,10	10,71	0,23	0,76	68,94	3,26	-46,8034785	-23,5476532
L06583	127,00	503,00	224,00	39,00	300,00	13,00	1380,00	94,00	ROGÉRIO LINS	2253,00	3822	2680	1142	22,33	9,94	1,73	0,58	61,25	4,17	-46,7956280	-23,5419549
L06584	306,00	832,00	444,00	49,00	552,00	35,00	2444,00	254,00	ROGÉRIO LINS	4058,00	7178	4916	2262	20,50	10,94	1,21	0,86	60,23	6,26	-46,8001696	-23,5314568
L06585	130,00	393,00	220,00	12,00	266,00	9,00	1206,00	114,00	ROGÉRIO LINS	1954,00	3103	2350	753	20,11	11,26	0,61	0,46	61,72	5,83	-46,7963450	-23,5492691
L06586	101,00	313,00	173,00	15,00	205,00	16,00	903,00	110,00	ROGÉRIO LINS	1530,00	2464	1836	628	20,46	11,31	0,98	1,05	59,02	7,19	-46,7973540	-23,5310870
L06587	83,00	197,00	136,00	6,00	174,00	7,00	594,00	109,00	ROGÉRIO LINS	1049,00	1738	1306	432	18,78	12,96	0,57	0,67	56,63	10,39	-46,8114200	-23,5253090
L06588	269,00	926,00	472,00	71,00	652,00	19,00	2538,00	279,00	ROGÉRIO LINS	4305,00	7782	5226	2556	21,51	10,96	1,65	0,44	58,95	6,48	-46,7908090	-23,5375427
L06589	48,00	125,00	79,00	8,00	117,00	0,00	365,00	97,00	ROGÉRIO LINS	674,00	1132	839	293	18,55	11,72	1,19	0,00	54,15	14,39	-46,7888751	-23,5377480
L07430	7,00	3,00	29,00	0,00	8,00	0,00	3,00	0,00	EMIDIO DE SOUZA	35,00	85	50	35	8,57	82,86	0,00	0,00	8,57	0,00	-46,8090439	-23,5961555
L07431	104,00	321,00	163,00	8,00	150,00	5,00	961,00	35,00	ROGÉRIO LINS	1493,00	2426	1747	679	21,50	10,92	0,54	0,33	64,37	2,34	-46,8092805	-23,5456077
L07432	314,00	759,00	446,00	15,00	542,00	14,00	2338,00	189,00	ROGÉRIO LINS	3761,00	6710	4617	2093	20,18	11,86	0,40	0,37	62,16	5,03	-46,8000137	-23,5574530
L07433	1,00	15,00	8,00	1,00	3,00	0,00	41,00	3,00	ROGÉRIO LINS	68,00	102	72	30	22,06	11,76	1,47	0,00	60,29	4,41	-46,8092048	-23,5526692
L07434	255,00	683,00	428,00	10,00	455,00	21,00	2063,00	117,00	ROGÉRIO LINS	3322,00	5784	4032	1752	20,56	12,88	0,30	0,63	62,10	3,52	-46,8046895	-23,5635769
L07435	178,00	342,00	258,00	8,00	245,00	11,00	1333,00	86,00	ROGÉRIO LINS	2038,00	3380	2461	919	16,78	12,66	0,39	0,54	65,41	4,22	-46,8135816	-23,5618315
L07436	288,00	725,00	493,00	15,00	541,00	25,00	2058,00	206,00	ROGÉRIO LINS	3522,00	5822	4351	1471	20,58	14,00	0,43	0,71	58,43	5,85	-46,8142376	-23,5662204
L07437	385,00	896,00	572,00	22,00	554,00	19,00	2809,00	127,00	ROGÉRIO LINS	4445,00	7463	5384	2079	20,16	12,87	0,49	0,43	63,19	2,86	-46,8098001	-23,5479703
L07438	132,00	297,00	127,00	4,00	154,00	0,00	706,00	44,00	ROGÉRIO LINS	1178,00	2209	1464	745	25,21	10,78	0,34	0,00	59,93	3,74	-46,8129426	-23,5836958
L07439	335,00	902,00	575,00	58,00	544,00	19,00	2769,00	117,00	ROGÉRIO LINS	4440,00	7867	5319	2548	20,32	12,95	1,31	0,43	62,36	2,64	-46,8094021	-23,5477993
L07440	283,00	791,00	479,00	19,00	492,00	24,00	2061,00	162,00	ROGÉRIO LINS	3536,00	6493	4311	2182	22,37	13,55	0,54	0,68	58,29	4,58	-46,7989466	-23,5580852
