cod_local	Branco	DERLI DOURADO	ISRAEL LACERDA	JORGINHO ROMANOS	LISANDRO	Nulo	PROFESSOR RODRIGO ASSIS	RODRIGO ASHIUCHI	vencedor	v_valid	e_apto	e_comp	e_abst	DERLI DOURADO_%	ISRAEL LACERDA_%	JORGINHO ROMANOS_%	LISANDRO_%	PROFESSOR RODRIGO ASSIS_%	RODRIGO ASHIUCHI_%	longitude	latitude
L04124	31,00	14,00	40,00	26,00	47,00	66,00	14,00	386,00	RODRIGO ASHIUCHI	527,00	788	624	164	2,66	7,59	4,93	8,92	2,66	73,24	-46,2977269	-23,5421139
L04127	97,00	28,00	67,00	146,00	24,00	142,00	10,00	813,00	RODRIGO ASHIUCHI	1088,00	1606	1327	279	2,57	6,16	13,42	2,21	0,92	74,72	-46,3326411	-23,6602549
L04128	41,00	44,00	25,00	37,00	24,00	54,00	0,00	467,00	RODRIGO ASHIUCHI	597,00	811	692	119	7,37	4,19	6,20	4,02	0,00	78,22	-46,3247304	-23,6314102
L04129	101,00	55,00	115,00	87,00	144,00	193,00	14,00	1555,00	RODRIGO ASHIUCHI	1970,00	3094	2264	830	2,79	5,84	4,42	7,31	0,71	78,93	-46,3091568	-23,5571754
L04130	105,00	60,00	59,00	87,00	53,00	123,00	1,00	1019,00	RODRIGO ASHIUCHI	1279,00	1931	1507	424	4,69	4,61	6,80	4,14	0,08	79,67	-46,3161640	-23,6243193
L04131	185,00	68,00	207,00	184,00	208,00	283,00	18,00	1941,00	RODRIGO ASHIUCHI	2626,00	4141	3094	1047	2,59	7,88	7,01	7,92	0,69	73,91	-46,2941819	-23,5408900
L04132	222,00	110,00	245,00	205,00	353,00	326,00	39,00	3274,00	RODRIGO ASHIUCHI	4226,00	6614	4774	1840	2,60	5,80	4,85	8,35	0,92	77,47	-46,3117067	-23,5500152
L04133	245,00	144,00	172,00	277,00	96,00	310,00	19,00	2303,00	RODRIGO ASHIUCHI	3011,00	4621	3566	1055	4,78	5,71	9,20	3,19	0,63	76,49	-46,3152694	-23,6420695
L04134	179,00	79,00	206,00	206,00	255,00	323,00	26,00	2739,00	RODRIGO ASHIUCHI	3511,00	5567	4013	1554	2,25	5,87	5,87	7,26	0,74	78,01	-46,3013357	-23,5401480
L04135	54,00	19,00	11,00	83,00	11,00	77,00	3,00	569,00	RODRIGO ASHIUCHI	696,00	1164	827	337	2,73	1,58	11,93	1,58	0,43	81,75	-46,3032478	-23,6852651
L04136	192,00	92,00	106,00	176,00	80,00	294,00	14,00	1940,00	RODRIGO ASHIUCHI	2408,00	3841	2894	947	3,82	4,40	7,31	3,32	0,58	80,56	-46,2850343	-23,4919334
L04137	60,00	40,00	19,00	64,00	16,00	65,00	9,00	594,00	RODRIGO ASHIUCHI	742,00	1121	867	254	5,39	2,56	8,63	2,16	1,21	80,05	-46,3072456	-23,6640300
L04138	221,00	50,00	149,00	105,00	89,00	283,00	62,00	2506,00	RODRIGO ASHIUCHI	2961,00	4571	3465	1106	1,69	5,03	3,55	3,01	2,09	84,63	-46,2968453	-23,5156554
L04139	113,00	35,00	68,00	131,00	43,00	134,00	4,00	844,00	RODRIGO ASHIUCHI	1125,00	1809	1372	437	3,11	6,04	11,64	3,82	0,36	75,02	-46,3192188	-23,6456847
L04140	90,00	51,00	96,00	132,00	58,00	141,00	19,00	1244,00	RODRIGO ASHIUCHI	1600,00	2549	1831	718	3,19	6,00	8,25	3,62	1,19	77,75	-46,3106329	-23,5850537
L04141	64,00	35,00	92,00	103,00	89,00	125,00	6,00	1053,00	RODRIGO ASHIUCHI	1378,00	2350	1567	783	2,54	6,68	7,47	6,46	0,44	76,42	-46,3112319	-23,5448570
L04142	223,00	80,00	222,00	223,00	152,00	334,00	21,00	2520,00	RODRIGO ASHIUCHI	3218,00	4735	3775	960	2,49	6,90	6,93	4,72	0,65	78,31	-46,3034010	-23,5859659
L04143	174,00	64,00	147,00	216,00	125,00	275,00	14,00	2111,00	RODRIGO ASHIUCHI	2677,00	4079	3126	953	2,39	5,49	8,07	4,67	0,52	78,86	-46,2933830	-23,5539549
L04144	86,00	41,00	86,00	122,00	103,00	121,00	9,00	1152,00	RODRIGO ASHIUCHI	1513,00	2581	1720	861	2,71	5,68	8,06	6,81	0,59	76,14	-46,3108750	-23,5448837
L04145	211,00	91,00	179,00	190,00	180,00	295,00	24,00	2754,00	RODRIGO ASHIUCHI	3418,00	4950	3924	1026	2,66	5,24	5,56	5,27	0,70	80,57	-46,2915923	-23,5601470
L04146	156,00	69,00	175,00	95,00	118,00	240,00	29,00	2079,00	RODRIGO ASHIUCHI	2565,00	4018	2961	1057	2,69	6,82	3,70	4,60	1,13	81,05	-46,2879270	-23,5096825
L04147	121,00	28,00	145,00	100,00	134,00	160,00	8,00	1168,00	RODRIGO ASHIUCHI	1583,00	2513	1864	649	1,77	9,16	6,32	8,46	0,51	73,78	-46,2939310	-23,5382590
L04148	268,00	110,00	242,00	168,00	113,00	441,00	48,00	3154,00	RODRIGO ASHIUCHI	3835,00	6119	4544	1575	2,87	6,31	4,38	2,95	1,25	82,24	-46,2963348	-23,5017492
L04149	249,00	90,00	238,00	92,00	118,00	374,00	28,00	2895,00	RODRIGO ASHIUCHI	3461,00	5253	4084	1169	2,60	6,88	2,66	3,41	0,81	83,65	-46,2914290	-23,5123440
L04150	131,00	15,00	114,00	150,00	69,00	181,00	3,00	1443,00	RODRIGO ASHIUCHI	1794,00	2867	2106	761	0,84	6,35	8,36	3,85	0,17	80,43	-46,2955967	-23,6222771
L04151	148,00	78,00	158,00	133,00	180,00	251,00	21,00	2268,00	RODRIGO ASHIUCHI	2838,00	4265	3237	1028	2,75	5,57	4,69	6,34	0,74	79,92	-46,3005562	-23,5474194
L04152	18,00	6,00	18,00	17,00	14,00	27,00	1,00	216,00	RODRIGO ASHIUCHI	272,00	418	317	101	2,21	6,62	6,25	5,15	0,37	79,41	-46,2956716	-23,5577692
L04153	99,00	38,00	71,00	106,00	120,00	113,00	14,00	956,00	RODRIGO ASHIUCHI	1305,00	1890	1517	373	2,91	5,44	8,12	9,20	1,07	73,26	-46,2877817	-23,5407707
L04154	67,00	38,00	64,00	29,00	43,00	99,00	7,00	859,00	RODRIGO ASHIUCHI	1040,00	1377	1206	171	3,65	6,15	2,79	4,13	0,67	82,60	-46,3077450	-23,6018350
L04155	27,00	10,00	20,00	11,00	6,00	35,00	1,00	266,00	RODRIGO ASHIUCHI	314,00	481	376	105	3,18	6,37	3,50	1,91	0,32	84,71	-46,2837387	-23,5140863
L04156	39,00	9,00	20,00	21,00	9,00	43,00	10,00	401,00	RODRIGO ASHIUCHI	470,00	696	552	144	1,91	4,26	4,47	1,91	2,13	85,32	-46,2903545	-23,5127263
L04157	21,00	9,00	17,00	25,00	5,00	28,00	3,00	204,00	RODRIGO ASHIUCHI	263,00	363	312	51	3,42	6,46	9,51	1,90	1,14	77,57	-46,3140813	-23,6427720
L04158	101,00	58,00	121,00	123,00	139,00	205,00	25,00	1557,00	RODRIGO ASHIUCHI	2023,00	2897	2329	568	2,87	5,98	6,08	6,87	1,24	76,96	-46,2964165	-23,5491266
L04159	40,00	16,00	37,00	59,00	26,00	98,00	14,00	632,00	RODRIGO ASHIUCHI	784,00	1101	922	179	2,04	4,72	7,53	3,32	1,79	80,61	-46,3028730	-23,5933680
