cod_local	AURICCHIO	Branco	CASONATO	FABIO PALACIO	HORÁCIO NETO	JOÃO MORAES	MARIO BOHM	NILSON BONOME	Nulo	THIAGO TORTORELLO	vencedor	v_valid	e_apto	e_comp	e_abst	AURICCHIO_%	CASONATO_%	FABIO PALACIO_%	HORÁCIO NETO_%	JOÃO MORAES_%	MARIO BOHM_%	NILSON BONOME_%	THIAGO TORTORELLO_%	longitude	latitude
L03827	1172	124	32	899	101	43	240	5	247	168	AURICCHIO	2660	3936	3031	905	44,06	1,20	33,80	3,80	1,62	9,02	0,19	6,32	-46,5736960	-23,6281079
L03828	2259	200	101	1547	184	101	207	15	424	338	AURICCHIO	4752	7113	5376	1737	47,54	2,13	32,55	3,87	2,13	4,36	0,32	7,11	-46,5775486	-23,6354290
L03829	717	73	8	375	60	30	124	3	148	108	AURICCHIO	1425	2280	1646	634	50,32	0,56	26,32	4,21	2,11	8,70	0,21	7,58	-46,5748539	-23,6017980
L03830	1235	141	21	983	119	57	310	10	259	163	AURICCHIO	2898	4119	3298	821	42,62	0,72	33,92	4,11	1,97	10,70	0,35	5,62	-46,5749545	-23,6437552
L03831	955	105	25	641	93	38	148	18	199	109	AURICCHIO	2027	3238	2331	907	47,11	1,23	31,62	4,59	1,87	7,30	0,89	5,38	-46,5695666	-23,6448220
L03832	801	63	7	584	74	28	183	10	162	93	AURICCHIO	1780	2886	2005	881	45,00	0,39	32,81	4,16	1,57	10,28	0,56	5,22	-46,5730347	-23,6211432
L03833	1492	163	55	1210	161	64	248	21	303	222	AURICCHIO	3473	5230	3939	1291	42,96	1,58	34,84	4,64	1,84	7,14	0,60	6,39	-46,5700307	-23,6362136
L03834	1631	163	29	849	150	68	291	15	267	157	AURICCHIO	3190	4678	3620	1058	51,13	0,91	26,61	4,70	2,13	9,12	0,47	4,92	-46,5726120	-23,6066308
L03835	1558	141	40	1135	167	54	330	16	341	252	AURICCHIO	3552	5449	4034	1415	43,86	1,13	31,95	4,70	1,52	9,29	0,45	7,09	-46,5643400	-23,6272959
L03836	1672	155	38	1131	175	81	232	8	325	180	AURICCHIO	3517	5494	3997	1497	47,54	1,08	32,16	4,98	2,30	6,60	0,23	5,12	-46,5659560	-23,6332439
L03837	482	49	15	289	55	14	86	5	88	69	AURICCHIO	1015	1565	1152	413	47,49	1,48	28,47	5,42	1,38	8,47	0,49	6,80	-46,5754785	-23,6141958
L03838	544	53	20	424	52	25	130	8	103	56	AURICCHIO	1259	1776	1415	361	43,21	1,59	33,68	4,13	1,99	10,33	0,64	4,45	-46,5763789	-23,6236520
L03839	1089	118	26	978	125	41	330	9	224	216	AURICCHIO	2814	4180	3156	1024	38,70	0,92	34,75	4,44	1,46	11,73	0,32	7,68	-46,5778738	-23,6374845
L03840	1799	174	46	1413	232	73	534	14	376	237	AURICCHIO	4348	6459	4898	1561	41,38	1,06	32,50	5,34	1,68	12,28	0,32	5,45	-46,5710495	-23,6231623
L03841	2259	223	52	1360	249	94	460	27	403	268	AURICCHIO	4769	7551	5395	2156	47,37	1,09	28,52	5,22	1,97	9,65	0,57	5,62	-46,5736010	-23,6093189
L06294	1493	191	38	1061	197	53	476	14	318	197	AURICCHIO	3529	5616	4038	1578	42,31	1,08	30,07	5,58	1,50	13,49	0,40	5,58	-46,5666428	-23,6154995
L06295	1862	181	36	1397	202	92	445	21	337	228	AURICCHIO	4283	6342	4801	1541	43,47	0,84	32,62	4,72	2,15	10,39	0,49	5,32	-46,5510457	-23,6209219
L06296	1152	86	5	400	53	38	63	3	163	94	AURICCHIO	1808	2620	2057	563	63,72	0,28	22,12	2,93	2,10	3,48	0,17	5,20	-46,5489418	-23,6072896
L06297	1394	154	19	940	94	44	159	21	290	162	AURICCHIO	2833	4325	3277	1048	49,21	0,67	33,18	3,32	1,55	5,61	0,74	5,72	-46,5643922	-23,6397657
L06298	1819	189	30	1383	176	61	421	9	456	292	AURICCHIO	4191	6342	4836	1506	43,40	0,72	33,00	4,20	1,46	10,05	0,21	6,97	-46,5568507	-23,6253877
L06299	1416	168	38	1040	112	62	162	9	313	174	AURICCHIO	3013	4453	3494	959	47,00	1,26	34,52	3,72	2,06	5,38	0,30	5,77	-46,5628521	-23,6408963
L06300	1650	141	24	1187	164	46	363	10	382	217	AURICCHIO	3661	5478	4184	1294	45,07	0,66	32,42	4,48	1,26	9,92	0,27	5,93	-46,5634737	-23,6294039
L06301	1386	130	19	998	132	60	228	16	239	172	AURICCHIO	3011	4317	3380	937	46,03	0,63	33,15	4,38	1,99	7,57	0,53	5,71	-46,5638740	-23,6349540
L06302	1492	136	18	1079	133	49	520	6	278	211	AURICCHIO	3508	5225	3922	1303	42,53	0,51	30,76	3,79	1,40	14,82	0,17	6,01	-46,5612820	-23,6181008
L06303	1655	168	24	1136	158	80	186	18	392	188	AURICCHIO	3445	5146	4005	1141	48,04	0,70	32,98	4,59	2,32	5,40	0,52	5,46	-46,5684560	-23,6423549
L06304	2410	261	61	1913	234	110	546	31	524	375	AURICCHIO	5680	8731	6465	2266	42,43	1,07	33,68	4,12	1,94	9,61	0,55	6,60	-46,5565462	-23,6338868
L06305	1347	144	23	1024	100	54	283	17	302	131	AURICCHIO	2979	4341	3425	916	45,22	0,77	34,37	3,36	1,81	9,50	0,57	4,40	-46,5598285	-23,6426493
L06306	1622	163	34	1237	138	57	381	23	321	216	AURICCHIO	3708	5574	4192	1382	43,74	0,92	33,36	3,72	1,54	10,28	0,62	5,83	-46,5573917	-23,6361303
L06307	1677	127	30	1142	120	62	302	18	339	194	AURICCHIO	3545	5277	4011	1266	47,31	0,85	32,21	3,39	1,75	8,52	0,51	5,47	-46,5517289	-23,6248440
L06308	802	77	31	649	86	30	227	7	157	119	AURICCHIO	1951	2787	2185	602	41,11	1,59	33,26	4,41	1,54	11,64	0,36	6,10	-46,5483890	-23,6250380
