cod_local	AMANDA BISPO	ANDRÉ SAPANOS	ATILA	Branco	CAIO TÚLIO	DONISETE BRAGA	DRA ROSENI	JUIZ JOÃO	MARCELO OLIVEIRA	Nulo	POLICIAL FEDERAL MAURO ROMAN	PROFESSOR BETINHO	RONALDO PEDROSA	VANESSA DAMO	ZÉ LOURENCINI	vencedor	v_valid	e_apto	e_comp	e_abst	AMANDA BISPO_%	ANDRÉ SAPANOS_%	ATILA_%	CAIO TÚLIO_%	DONISETE BRAGA_%	DRA ROSENI_%	JUIZ JOÃO_%	MARCELO OLIVEIRA_%	POLICIAL FEDERAL MAURO ROMAN_%	PROFESSOR BETINHO_%	RONALDO PEDROSA_%	VANESSA DAMO_%	ZÉ LOURENCINI_%	longitude	latitude
L04967	0,00	1,00	6,00	1,00	0,00	1,00	0,00	0,00	48,00	2,00	0,00	0,00	0,00	0,00	0,00	MARCELO OLIVEIRA	56,00	72	59	13	0,00	1,79	10,71	0,00	1,79	0,00	0,00	85,71	0,00	0,00	0,00	0,00	0,00	-46,4796674	-23,6979772
L04968	74,00	32,00	236,00	79,00	0,00	37,00	8,00	239,00	217,00	165,00	67,00	16,00	11,00	53,00	141,00	JUIZ JOÃO	1131,00	1785	1375	410	6,54	2,83	20,87	0,00	3,27	0,71	21,13	19,19	5,92	1,41	0,97	4,69	12,47	-46,4574851	-23,6742405
L04969	49,00	33,00	839,00	192,00	0,00	71,00	5,00	563,00	564,00	360,00	131,00	22,00	47,00	39,00	397,00	ATILA	2760,00	4421	3312	1109	1,78	1,20	30,40	0,00	2,57	0,18	20,40	20,43	4,75	0,80	1,70	1,41	14,38	-46,4600566	-23,6873031
L04970	63,00	59,00	987,00	235,00	2,00	122,00	18,00	493,00	574,00	426,00	132,00	56,00	54,00	40,00	342,00	ATILA	2942,00	4611	3603	1008	2,14	2,01	33,55	0,07	4,15	0,61	16,76	19,51	4,49	1,90	1,84	1,36	11,62	-46,4477655	-23,6812088
L04971	39,00	24,00	509,00	112,00	0,00	29,00	5,00	293,00	267,00	208,00	68,00	16,00	14,00	28,00	229,00	ATILA	1521,00	2226	1841	385	2,56	1,58	33,46	0,00	1,91	0,33	19,26	17,55	4,47	1,05	0,92	1,84	15,06	-46,4583197	-23,6949894
L04972	33,00	35,00	474,00	131,00	2,00	48,00	8,00	343,00	390,00	302,00	96,00	18,00	29,00	37,00	306,00	ATILA	1819,00	2924	2252	672	1,81	1,92	26,06	0,11	2,64	0,44	18,86	21,44	5,28	0,99	1,59	2,03	16,82	-46,4532906	-23,6893084
L04973	48,00	28,00	808,00	182,00	0,00	121,00	11,00	632,00	622,00	392,00	140,00	19,00	33,00	78,00	426,00	ATILA	2966,00	4879	3540	1339	1,62	0,94	27,24	0,00	4,08	0,37	21,31	20,97	4,72	0,64	1,11	2,63	14,36	-46,4522160	-23,6784560
L04974	53,00	40,00	1114,00	234,00	0,00	76,00	10,00	574,00	520,00	468,00	111,00	21,00	48,00	30,00	373,00	ATILA	2970,00	4809	3672	1137	1,78	1,35	37,51	0,00	2,56	0,34	19,33	17,51	3,74	0,71	1,62	1,01	12,56	-46,4513595	-23,7002391
L04975	29,00	24,00	803,00	180,00	0,00	160,00	23,00	602,00	451,00	300,00	103,00	28,00	35,00	30,00	382,00	ATILA	2670,00	4313	3150	1163	1,09	0,90	30,07	0,00	5,99	0,86	22,55	16,89	3,86	1,05	1,31	1,12	14,31	-46,4502833	-23,6883457
L04976	35,00	54,00	851,00	180,00	0,00	111,00	7,00	453,00	509,00	322,00	117,00	32,00	52,00	38,00	345,00	ATILA	2604,00	4019	3106	913	1,34	2,07	32,68	0,00	4,26	0,27	17,40	19,55	4,49	1,23	2,00	1,46	13,25	-46,4414222	-23,6847287
L04977	35,00	28,00	417,00	98,00	0,00	45,00	13,00	463,00	292,00	231,00	75,00	9,00	12,00	67,00	183,00	JUIZ JOÃO	1639,00	2761	1968	793	2,14	1,71	25,44	0,00	2,75	0,79	28,25	17,82	4,58	0,55	0,73	4,09	11,17	-46,4629009	-23,6745649
L04978	55,00	61,00	564,00	209,00	1,00	72,00	19,00	492,00	390,00	421,00	119,00	36,00	24,00	100,00	348,00	ATILA	2281,00	3846	2911	935	2,41	2,67	24,73	0,04	3,16	0,83	21,57	17,10	5,22	1,58	1,05	4,38	15,26	-46,4730680	-23,6686799
L04979	103,00	70,00	767,00	295,00	2,00	120,00	31,00	711,00	607,00	569,00	159,00	53,00	87,00	110,00	518,00	ATILA	3338,00	5763	4202	1561	3,09	2,10	22,98	0,06	3,59	0,93	21,30	18,18	4,76	1,59	2,61	3,30	15,52	-46,4766607	-23,6697433
L04980	43,00	73,00	1253,00	304,00	0,00	282,00	16,00	851,00	691,00	506,00	151,00	36,00	106,00	53,00	511,00	ATILA	4066,00	6359	4876	1483	1,06	1,80	30,82	0,00	6,94	0,39	20,93	16,99	3,71	0,89	2,61	1,30	12,57	-46,4439840	-23,6895789
L04981	62,00	46,00	776,00	161,00	0,00	118,00	14,00	577,00	570,00	419,00	136,00	26,00	26,00	77,00	423,00	ATILA	2851,00	4587	3431	1156	2,17	1,61	27,22	0,00	4,14	0,49	20,24	19,99	4,77	0,91	0,91	2,70	14,84	-46,4553031	-23,6818891
L04982	75,00	60,00	601,00	185,00	0,00	77,00	20,00	702,00	456,00	362,00	101,00	45,00	28,00	95,00	346,00	JUIZ JOÃO	2606,00	4236	3153	1083	2,88	2,30	23,06	0,00	2,95	0,77	26,94	17,50	3,88	1,73	1,07	3,65	13,28	-46,4658220	-23,6696613
L04983	15,00	2,00	384,00	114,00	0,00	46,00	2,00	151,00	109,00	131,00	75,00	4,00	31,00	21,00	118,00	ATILA	958,00	1575	1203	372	1,57	0,21	40,08	0,00	4,80	0,21	15,76	11,38	7,83	0,42	3,24	2,19	12,32	-46,4834643	-23,6986859
L04984	49,00	26,00	954,00	195,00	0,00	76,00	4,00	493,00	473,00	424,00	106,00	22,00	43,00	37,00	326,00	ATILA	2609,00	4166	3228	938	1,88	1,00	36,57	0,00	2,91	0,15	18,90	18,13	4,06	0,84	1,65	1,42	12,50	-46,4570504	-23,7010895
L04985	19,00	43,00	406,00	120,00	0,00	72,00	11,00	283,00	192,00	189,00	52,00	6,00	24,00	17,00	163,00	ATILA	1288,00	1963	1597	366	1,48	3,34	31,52	0,00	5,59	0,85	21,97	14,91	4,04	0,47	1,86	1,32	12,66	-46,4458379	-23,6939070
L04986	46,00	35,00	444,00	101,00	0,00	49,00	3,00	383,00	239,00	215,00	76,00	14,00	15,00	78,00	227,00	ATILA	1609,00	2847	1925	922	2,86	2,18	27,59	0,00	3,05	0,19	23,80	14,85	4,72	0,87	0,93	4,85	14,11	-46,4564260	-23,6687580
L04987	98,00	41,00	1060,00	278,00	1,00	84,00	10,00	921,00	782,00	526,00	154,00	32,00	63,00	92,00	415,00	ATILA	3753,00	5959	4557	1402	2,61	1,09	28,24	0,03	2,24	0,27	24,54	20,84	4,10	0,85	1,68	2,45	11,06	-46,4622729	-23,6841270
