cod_local	ALEX REIS	Branco	DR MARCOS ALABE	JONATHA COELHO	Nulo	RENATA SENE	ROGERIO LAFRIONE	vencedor	v_valid	e_apto	e_comp	e_abst	ALEX REIS_%	DR MARCOS ALABE_%	JONATHA COELHO_%	RENATA SENE_%	ROGERIO LAFRIONE_%	longitude	latitude
L08771	19	68	39	62	114	1567	117	RENATA SENE	1804	2548	1986	562	1,05	2,16	3,44	86,86	6,49	-46,7445320	-23,2779900
L08772	37	104	48	76	197	1814	121	RENATA SENE	2096	3135	2397	738	1,77	2,29	3,63	86,55	5,77	-46,7395732	-23,2754946
L08773	37	196	72	112	344	3330	181	RENATA SENE	3732	5807	4272	1535	0,99	1,93	3,00	89,23	4,85	-46,7511363	-23,2775591
L08774	38	174	49	120	272	2467	173	RENATA SENE	2847	4688	3293	1395	1,33	1,72	4,21	86,65	6,08	-46,7398458	-23,2775708
L08775	28	228	71	163	322	3206	194	RENATA SENE	3662	5452	4212	1240	0,76	1,94	4,45	87,55	5,30	-46,7296045	-23,2800431
L08776	39	202	63	157	355	2876	271	RENATA SENE	3406	5375	3963	1412	1,15	1,85	4,61	84,44	7,96	-46,7424408	-23,2578921
L08777	189	279	146	84	484	2336	229	RENATA SENE	2984	5003	3747	1256	6,33	4,89	2,82	78,28	7,67	-46,7084260	-23,2856363
L08778	31	184	54	155	280	3042	281	RENATA SENE	3563	5392	4027	1365	0,87	1,52	4,35	85,38	7,89	-46,7371767	-23,2834582
L08779	41	174	77	113	334	3439	237	RENATA SENE	3907	5807	4415	1392	1,05	1,97	2,89	88,02	6,07	-46,7306685	-23,2688871
L08780	50	240	117	186	394	4041	302	RENATA SENE	4696	6954	5330	1624	1,06	2,49	3,96	86,05	6,43	-46,7210701	-23,2745477
L08781	67	227	57	82	380	2611	188	RENATA SENE	3005	4713	3612	1101	2,23	1,90	2,73	86,89	6,26	-46,7293727	-23,2991642
L08782	32	99	36	51	216	2466	101	RENATA SENE	2686	3867	3001	866	1,19	1,34	1,90	91,81	3,76	-46,7529656	-23,2834389
L08783	44	174	86	115	357	3791	201	RENATA SENE	4237	6447	4768	1679	1,04	2,03	2,71	89,47	4,74	-46,7477922	-23,2840979
L08784	12	59	13	39	73	785	70	RENATA SENE	919	1425	1051	374	1,31	1,41	4,24	85,42	7,62	-46,7408702	-23,2818336
L08785	30	108	71	37	170	1885	100	RENATA SENE	2123	3104	2401	703	1,41	3,34	1,74	88,79	4,71	-46,7522131	-23,2702292
L08786	36	241	65	103	399	4166	239	RENATA SENE	4609	6920	5249	1671	0,78	1,41	2,23	90,39	5,19	-46,7423265	-23,2919153
L08787	11	85	15	73	145	1402	47	RENATA SENE	1548	2296	1778	518	0,71	0,97	4,72	90,57	3,04	-46,7593926	-23,2875173
L08788	24	145	43	109	246	2156	209	RENATA SENE	2541	3802	2932	870	0,94	1,69	4,29	84,85	8,23	-46,7448066	-23,2794319
L08789	5	134	16	47	152	1615	121	RENATA SENE	1804	2669	2090	579	0,28	0,89	2,61	89,52	6,71	-46,7357751	-23,3020340
L08790	13	128	38	64	160	1526	129	RENATA SENE	1770	2777	2058	719	0,73	2,15	3,62	86,21	7,29	-46,7416480	-23,2591949
L08791	52	107	60	67	198	1989	146	RENATA SENE	2314	3709	2619	1090	2,25	2,59	2,90	85,96	6,31	-46,7462429	-23,2799446
L08792	43	116	49	71	217	2371	139	RENATA SENE	2673	4190	3006	1184	1,61	1,83	2,66	88,70	5,20	-46,7512522	-23,2807059
L08793	25	77	39	40	114	1198	91	RENATA SENE	1393	2104	1584	520	1,79	2,80	2,87	86,00	6,53	-46,7394020	-23,2747430
L08794	2	38	18	33	53	680	29	RENATA SENE	762	1044	853	191	0,26	2,36	4,33	89,24	3,81	-46,7257287	-23,3118935
L08795	4	13	7	7	35	328	14	RENATA SENE	360	520	408	112	1,11	1,94	1,94	91,11	3,89	-46,7211867	-23,2758590
L08796	2	40	17	28	99	912	32	RENATA SENE	991	1420	1130	290	0,20	1,72	2,83	92,03	3,23	-46,7589913	-23,2880867
L08797	132	193	135	54	321	1674	186	RENATA SENE	2181	3487	2695	792	6,05	6,19	2,48	76,75	8,53	-46,7083472	-23,2860467
L08798	57	236	88	122	372	3979	257	RENATA SENE	4503	6706	5111	1595	1,27	1,95	2,71	88,36	5,71	-46,7303626	-23,2700058
L08799	10	40	26	22	89	779	62	RENATA SENE	899	1461	1028	433	1,11	2,89	2,45	86,65	6,90	-46,7457241	-23,2801030
L08800	31	150	25	97	230	2484	145	RENATA SENE	2782	4098	3162	936	1,11	0,90	3,49	89,29	5,21	-46,7498660	-23,2953150
L08801	50	163	58	169	344	3253	267	RENATA SENE	3797	5621	4304	1317	1,32	1,53	4,45	85,67	7,03	-46,7356360	-23,2834490
L08802	56	128	63	64	209	2183	211	RENATA SENE	2577	3851	2914	937	2,17	2,44	2,48	84,71	8,19	-46,7461555	-23,2677431
