cod_local	Branco	CAIO CUNHA	FELIPE LINTZ	FRED COSTA	MARCUS MELO	MICHAEL DELLA TORRE	MIGUEL BOMBEIRO	Nulo	RODRIGO VALVERDE	vencedor	v_valid	e_apto	e_comp	e_abst	CAIO CUNHA_%	FELIPE LINTZ_%	FRED COSTA_%	MARCUS MELO_%	MICHAEL DELLA TORRE_%	MIGUEL BOMBEIRO_%	RODRIGO VALVERDE_%	longitude	latitude
L01985	122,00	577,00	148,00	32,00	868,00	16,00	30,00	224,00	252,00	MARCUS MELO	1923,00	3292	2269	1023	30,01	7,70	1,66	45,14	0,83	1,56	13,10	-46,2134957	-23,5315855
L01986	322,00	1207,00	354,00	56,00	1514,00	53,00	68,00	479,00	644,00	MARCUS MELO	3896,00	6730	4697	2033	30,98	9,09	1,44	38,86	1,36	1,75	16,53	-46,2084156	-23,5413746
L01987	102,00	811,00	151,00	20,00	1186,00	18,00	17,00	190,00	258,00	MARCUS MELO	2461,00	4015	2753	1262	32,95	6,14	0,81	48,19	0,73	0,69	10,48	-46,2017578	-23,5273784
L01988	21,00	81,00	12,00	4,00	96,00	3,00	6,00	17,00	34,00	MARCUS MELO	236,00	350	274	76	34,32	5,08	1,69	40,68	1,27	2,54	14,41	-46,2051594	-23,5272318
L01989	105,00	859,00	93,00	20,00	969,00	31,00	13,00	164,00	199,00	MARCUS MELO	2184,00	3377	2453	924	39,33	4,26	0,92	44,37	1,42	0,60	9,11	-46,1730191	-23,5248590
L01990	156,00	619,00	165,00	12,00	667,00	12,00	18,00	207,00	414,00	MARCUS MELO	1907,00	2975	2270	705	32,46	8,65	0,63	34,98	0,63	0,94	21,71	-46,1842738	-23,5459020
L01991	83,00	397,00	90,00	18,00	613,00	15,00	12,00	141,00	228,00	MARCUS MELO	1373,00	2477	1597	880	28,91	6,55	1,31	44,65	1,09	0,87	16,61	-46,1853207	-23,5234969
L01992	249,00	1434,00	321,00	52,00	1685,00	48,00	56,00	455,00	790,00	MARCUS MELO	4386,00	7537	5090	2447	32,69	7,32	1,19	38,42	1,09	1,28	18,01	-46,1856490	-23,5243939
L01993	290,00	1429,00	363,00	52,00	2103,00	37,00	54,00	421,00	558,00	MARCUS MELO	4596,00	7844	5307	2537	31,09	7,90	1,13	45,76	0,81	1,17	12,14	-46,2029781	-23,5335337
L01994	218,00	1340,00	229,00	35,00	1719,00	48,00	50,00	350,00	523,00	MARCUS MELO	3944,00	6748	4512	2236	33,98	5,81	0,89	43,59	1,22	1,27	13,26	-46,1713311	-23,5224846
L01995	250,00	1117,00	251,00	35,00	1527,00	62,00	45,00	412,00	671,00	MARCUS MELO	3708,00	6404	4370	2034	30,12	6,77	0,94	41,18	1,67	1,21	18,10	-46,1882219	-23,5368569
L01996	194,00	868,00	231,00	18,00	1008,00	12,00	48,00	348,00	432,00	MARCUS MELO	2617,00	4094	3159	935	33,17	8,83	0,69	38,52	0,46	1,83	16,51	-46,1946730	-23,5488514
L01997	75,00	207,00	99,00	15,00	318,00	8,00	11,00	86,00	127,00	MARCUS MELO	785,00	1281	946	335	26,37	12,61	1,91	40,51	1,02	1,40	16,18	-46,1623888	-23,5299538
L01998	178,00	650,00	248,00	25,00	911,00	38,00	36,00	285,00	964,00	RODRIGO VALVERDE	2872,00	4713	3335	1378	22,63	8,64	0,87	31,72	1,32	1,25	33,57	-46,1825519	-23,5401787
L01999	179,00	451,00	239,00	26,00	785,00	13,00	32,00	212,00	491,00	MARCUS MELO	2037,00	3560	2428	1132	22,14	11,73	1,28	38,54	0,64	1,57	24,10	-46,1737909	-23,5362493
L02000	114,00	638,00	132,00	23,00	947,00	19,00	15,00	142,00	226,00	MARCUS MELO	2000,00	3006	2256	750	31,90	6,60	1,15	47,35	0,95	0,75	11,30	-46,2026770	-23,5310151
L02001	96,00	514,00	123,00	28,00	631,00	15,00	20,00	149,00	281,00	MARCUS MELO	1612,00	2625	1857	768	31,89	7,63	1,74	39,14	0,93	1,24	17,43	-46,1925010	-23,5232620
L02002	72,00	228,00	118,00	11,00	369,00	3,00	10,00	89,00	270,00	MARCUS MELO	1009,00	1525	1170	355	22,60	11,69	1,09	36,57	0,30	0,99	26,76	-46,1743260	-23,5376110
L02003	22,00	99,00	20,00	1,00	141,00	1,00	3,00	26,00	31,00	MARCUS MELO	296,00	425	344	81	33,45	6,76	0,34	47,64	0,34	1,01	10,47	-46,1984723	-23,5450909
L02004	118,00	519,00	131,00	20,00	505,00	15,00	11,00	128,00	281,00	CAIO CUNHA	1482,00	2312	1728	584	35,02	8,84	1,35	34,08	1,01	0,74	18,96	-46,1891169	-23,5370360
L02005	125,00	462,00	133,00	29,00	605,00	17,00	31,00	217,00	330,00	MARCUS MELO	1607,00	2843	1949	894	28,75	8,28	1,80	37,65	1,06	1,93	20,54	-46,1802256	-23,5306348
L02006	65,00	284,00	75,00	9,00	375,00	10,00	10,00	110,00	137,00	MARCUS MELO	900,00	1412	1075	337	31,56	8,33	1,00	41,67	1,11	1,11	15,22	-46,1939701	-23,5388714
L02007	159,00	694,00	175,00	36,00	1025,00	25,00	20,00	288,00	536,00	MARCUS MELO	2511,00	4256	2958	1298	27,64	6,97	1,43	40,82	1,00	0,80	21,35	-46,1873670	-23,5323390
L02008	60,00	209,00	48,00	5,00	303,00	11,00	10,00	96,00	107,00	MARCUS MELO	693,00	1135	849	286	30,16	6,93	0,72	43,72	1,59	1,44	15,44	-46,2049807	-23,5438808
L02009	74,00	390,00	108,00	9,00	475,00	8,00	15,00	127,00	166,00	MARCUS MELO	1171,00	1718	1372	346	33,30	9,22	0,77	40,56	0,68	1,28	14,18	-46,1982444	-23,5480283
L02010	75,00	249,00	71,00	10,00	288,00	5,00	17,00	92,00	211,00	MARCUS MELO	851,00	1318	1018	300	29,26	8,34	1,18	33,84	0,59	2,00	24,79	-46,1774530	-23,5387770
L02011	78,00	388,00	108,00	21,00	479,00	22,00	11,00	149,00	252,00	MARCUS MELO	1281,00	2014	1508	506	30,29	8,43	1,64	37,39	1,72	0,86	19,67	-46,1891176	-23,5299042
L02012	159,00	1295,00	221,00	18,00	1600,00	35,00	24,00	291,00	415,00	MARCUS MELO	3608,00	5905	4058	1847	35,89	6,13	0,50	44,35	0,97	0,67	11,50	-46,1827169	-23,5168343
L06851	206,00	409,00	171,00	24,00	700,00	20,00	18,00	214,00	348,00	MARCUS MELO	1690,00	2974	2110	864	24,20	10,12	1,42	41,42	1,18	1,07	20,59	-46,2193217	-23,5648981
L06852	202,00	407,00	182,00	14,00	1173,00	24,00	23,00	243,00	392,00	MARCUS MELO	2215,00	3808	2660	1148	18,37	8,22	0,63	52,96	1,08	1,04	17,70	-46,2590979	-23,5471710
L06853	26,00	75,00	32,00	2,00	143,00	1,00	4,00	32,00	69,00	MARCUS MELO	326,00	535	384	151	23,01	9,82	0,61	43,87	0,31	1,23	21,17	-46,2090248	-23,5741504
L06854	295,00	1376,00	400,00	37,00	1494,00	50,00	50,00	493,00	637,00	MARCUS MELO	4044,00	6327	4832	1495	34,03	9,89	0,91	36,94	1,24	1,24	15,75	-46,2171382	-23,5418470
L06855	22,00	21,00	14,00	1,00	116,00	3,00	1,00	17,00	28,00	MARCUS MELO	184,00	372	223	149	11,41	7,61	0,54	63,04	1,63	0,54	15,22	-46,2439199	-23,5836146
L06856	165,00	294,00	153,00	10,00	686,00	28,00	5,00	175,00	351,00	MARCUS MELO	1527,00	2619	1867	752	19,25	10,02	0,65	44,92	1,83	0,33	22,99	-46,2468620	-23,5510270
L06857	40,00	106,00	30,00	1,00	159,00	5,00	4,00	49,00	36,00	MARCUS MELO	341,00	582	430	152	31,09	8,80	0,29	46,63	1,47	1,17	10,56	-46,2371100	-23,5439550
L06858	98,00	145,00	132,00	5,00	578,00	5,00	8,00	105,00	80,00	MARCUS MELO	953,00	1636	1156	480	15,22	13,85	0,52	60,65	0,52	0,84	8,39	-46,2411604	-23,6493249
L06859	157,00	271,00	174,00	14,00	1047,00	10,00	20,00	191,00	271,00	MARCUS MELO	1807,00	2959	2155	804	15,00	9,63	0,77	57,94	0,55	1,11	15,00	-46,1852660	-23,6730330
L06860	243,00	558,00	207,00	34,00	909,00	28,00	33,00	313,00	505,00	MARCUS MELO	2274,00	3947	2830	1117	24,54	9,10	1,50	39,97	1,23	1,45	22,21	-46,2161759	-23,5808935
L06861	64,00	109,00	50,00	2,00	424,00	5,00	5,00	61,00	96,00	MARCUS MELO	691,00	1230	816	414	15,77	7,24	0,29	61,36	0,72	0,72	13,89	-46,1658596	-23,6070673
L06862	162,00	880,00	192,00	17,00	946,00	25,00	28,00	281,00	568,00	MARCUS MELO	2656,00	4340	3099	1241	33,13	7,23	0,64	35,62	0,94	1,05	21,39	-46,2005205	-23,5218948
L06863	202,00	1153,00	195,00	29,00	1310,00	28,00	22,00	315,00	424,00	MARCUS MELO	3161,00	5388	3678	1710	36,48	6,17	0,92	41,44	0,89	0,70	13,41	-46,1962830	-23,5146710
L06864	226,00	684,00	247,00	43,00	941,00	29,00	29,00	373,00	502,00	MARCUS MELO	2475,00	4226	3074	1152	27,64	9,98	1,74	38,02	1,17	1,17	20,28	-46,2134200	-23,5573729
L06865	118,00	592,00	138,00	16,00	674,00	28,00	16,00	202,00	270,00	MARCUS MELO	1734,00	2747	2054	693	34,14	7,96	0,92	38,87	1,61	0,92	15,57	-46,1807627	-23,5543029
L06866	472,00	1489,00	563,00	48,00	2129,00	53,00	89,00	711,00	924,00	MARCUS MELO	5295,00	9292	6478	2814	28,12	10,63	0,91	40,21	1,00	1,68	17,45	-46,2228617	-23,5422120
L06867	267,00	704,00	310,00	21,00	903,00	28,00	25,00	335,00	469,00	MARCUS MELO	2460,00	4107	3062	1045	28,62	12,60	0,85	36,71	1,14	1,02	19,07	-46,2187017	-23,5537725
L06868	89,00	686,00	134,00	14,00	832,00	8,00	10,00	174,00	275,00	MARCUS MELO	1959,00	3249	2222	1027	35,02	6,84	0,71	42,47	0,41	0,51	14,04	-46,1954883	-23,5147961
L06869	198,00	384,00	182,00	8,00	923,00	32,00	25,00	229,00	279,00	MARCUS MELO	1833,00	3154	2260	894	20,95	9,93	0,44	50,35	1,75	1,36	15,22	-46,1869355	-23,6713360
L06870	380,00	676,00	395,00	15,00	1572,00	59,00	35,00	411,00	915,00	MARCUS MELO	3667,00	6094	4458	1636	18,43	10,77	0,41	42,87	1,61	0,95	24,95	-46,2499240	-23,5498220
L06871	193,00	661,00	248,00	25,00	1088,00	45,00	34,00	324,00	404,00	MARCUS MELO	2505,00	4208	3022	1186	26,39	9,90	1,00	43,43	1,80	1,36	16,13	-46,2337351	-23,5425270
L06872	299,00	856,00	283,00	41,00	922,00	33,00	45,00	344,00	532,00	MARCUS MELO	2712,00	4610	3355	1255	31,56	10,44	1,51	34,00	1,22	1,66	19,62	-46,2028419	-23,5543180
L06873	148,00	275,00	117,00	5,00	1186,00	13,00	16,00	184,00	191,00	MARCUS MELO	1803,00	2988	2135	853	15,25	6,49	0,28	65,78	0,72	0,89	10,59	-45,9678399	-23,5322623
L06874	281,00	832,00	303,00	39,00	1195,00	32,00	50,00	422,00	542,00	MARCUS MELO	2993,00	4997	3696	1301	27,80	10,12	1,30	39,93	1,07	1,67	18,11	-46,2213739	-23,5551863
L06875	267,00	562,00	226,00	25,00	1506,00	48,00	24,00	338,00	581,00	MARCUS MELO	2972,00	4993	3577	1416	18,91	7,60	0,84	50,67	1,62	0,81	19,55	-46,2564339	-23,5487501
L06876	213,00	670,00	238,00	27,00	837,00	23,00	34,00	353,00	467,00	MARCUS MELO	2296,00	3861	2862	999	29,18	10,37	1,18	36,45	1,00	1,48	20,34	-46,2284045	-23,5500568
L06877	203,00	425,00	161,00	14,00	1077,00	24,00	20,00	229,00	357,00	MARCUS MELO	2078,00	3414	2510	904	20,45	7,75	0,67	51,83	1,15	0,96	17,18	-46,2617930	-23,5488429
L06878	285,00	1182,00	306,00	54,00	1380,00	34,00	58,00	470,00	661,00	MARCUS MELO	3675,00	6146	4430	1716	32,16	8,33	1,47	37,55	0,93	1,58	17,99	-46,2089161	-23,5485101
L06879	291,00	629,00	265,00	48,00	1342,00	12,00	47,00	348,00	743,00	MARCUS MELO	3086,00	5261	3725	1536	20,38	8,59	1,56	43,49	0,39	1,52	24,08	-46,2310239	-23,5865399
L06880	146,00	332,00	157,00	12,00	946,00	16,00	23,00	211,00	319,00	MARCUS MELO	1805,00	3034	2162	872	18,39	8,70	0,66	52,41	0,89	1,27	17,67	-46,2571889	-23,5489202
L06881	47,00	332,00	107,00	11,00	313,00	17,00	6,00	92,00	122,00	CAIO CUNHA	908,00	1288	1047	241	36,56	11,78	1,21	34,47	1,87	0,66	13,44	-46,1804098	-23,5614630
L06882	298,00	563,00	282,00	12,00	1342,00	35,00	36,00	319,00	724,00	MARCUS MELO	2994,00	4946	3611	1335	18,80	9,42	0,40	44,82	1,17	1,20	24,18	-46,2464158	-23,5470346
L06883	120,00	149,00	169,00	7,00	449,00	5,00	10,00	102,00	182,00	MARCUS MELO	971,00	1620	1193	427	15,35	17,40	0,72	46,24	0,51	1,03	18,74	-46,2419031	-23,6968684
L06884	85,00	385,00	92,00	13,00	480,00	8,00	14,00	128,00	175,00	MARCUS MELO	1167,00	1752	1380	372	32,99	7,88	1,11	41,13	0,69	1,20	15,00	-46,1805341	-23,5507934
L06885	22,00	76,00	32,00	1,00	95,00	2,00	1,00	35,00	52,00	MARCUS MELO	259,00	399	316	83	29,34	12,36	0,39	36,68	0,77	0,39	20,08	-46,2089100	-23,5618400
L06886	47,00	126,00	41,00	5,00	177,00	6,00	6,00	41,00	82,00	MARCUS MELO	443,00	751	531	220	28,44	9,26	1,13	39,95	1,35	1,35	18,51	-46,2191360	-23,5572379
L06887	55,00	73,00	58,00	2,00	450,00	8,00	10,00	56,00	97,00	MARCUS MELO	698,00	1112	809	303	10,46	8,31	0,29	64,47	1,15	1,43	13,90	-46,1847905	-23,5480892
