cod_local	AZUIR	Branco	GIAN LOPES	MARCIA BIN ESPOSA DO TESTINHA	MARIO SUMIRÊ	NACO	NELSON BUENO	NENO FERRARI	Nulo	PEDRO VIVIANI	RONALDO FLORIDO	SAULO SOUZA	vencedor	v_valid	e_apto	e_comp	e_abst	AZUIR_%	GIAN LOPES_%	MARCIA BIN ESPOSA DO TESTINHA_%	MARIO SUMIRÊ_%	NACO_%	NELSON BUENO_%	NENO FERRARI_%	PEDRO VIVIANI_%	RONALDO FLORIDO_%	SAULO SOUZA_%	longitude	latitude
L05004	234,00	108,00	300,00	732,00	88,00	8,00	68,00	114,00	171,00	5,00	16,00	333,00	MARCIA BIN ESPOSA DO TESTINHA	1898,00	3284	2177	1107	12,33	15,81	38,57	4,64	0,42	3,58	6,01	0,26	0,84	17,54	-46,3398858	-23,5239224
L05005	372,00	151,00	399,00	1103,00	142,00	13,00	58,00	191,00	210,00	10,00	20,00	404,00	MARCIA BIN ESPOSA DO TESTINHA	2712,00	3887	3073	814	13,72	14,71	40,67	5,24	0,48	2,14	7,04	0,37	0,74	14,90	-46,3374620	-23,5315400
L05006	485,00	233,00	635,00	1617,00	137,00	24,00	144,00	229,00	374,00	30,00	82,00	970,00	MARCIA BIN ESPOSA DO TESTINHA	4353,00	7166	4960	2206	11,14	14,59	37,15	3,15	0,55	3,31	5,26	0,69	1,88	22,28	-46,3429659	-23,5171323
L05007	156,00	161,00	379,00	529,00	24,00	11,00	37,00	81,00	181,00	12,00	44,00	454,00	MARCIA BIN ESPOSA DO TESTINHA	1727,00	2562	2069	493	9,03	21,95	30,63	1,39	0,64	2,14	4,69	0,69	2,55	26,29	-46,3657302	-23,5183636
L05008	179,00	92,00	208,00	543,00	32,00	9,00	39,00	70,00	131,00	3,00	13,00	329,00	MARCIA BIN ESPOSA DO TESTINHA	1425,00	2162	1648	514	12,56	14,60	38,11	2,25	0,63	2,74	4,91	0,21	0,91	23,09	-46,3480012	-23,5194955
L05009	283,00	159,00	399,00	1194,00	137,00	9,00	102,00	228,00	273,00	28,00	44,00	644,00	MARCIA BIN ESPOSA DO TESTINHA	3068,00	5266	3500	1766	9,22	13,01	38,92	4,47	0,29	3,32	7,43	0,91	1,43	20,99	-46,3438689	-23,5311039
L05010	427,00	190,00	444,00	716,00	47,00	8,00	72,00	94,00	214,00	2,00	36,00	641,00	MARCIA BIN ESPOSA DO TESTINHA	2487,00	3712	2891	821	17,17	17,85	28,79	1,89	0,32	2,90	3,78	0,08	1,45	25,77	-46,3548599	-23,5079119
L05011	239,00	142,00	324,00	872,00	71,00	9,00	31,00	78,00	164,00	9,00	40,00	520,00	MARCIA BIN ESPOSA DO TESTINHA	2193,00	3230	2499	731	10,90	14,77	39,76	3,24	0,41	1,41	3,56	0,41	1,82	23,71	-46,3355387	-23,5095882
L05012	437,00	248,00	497,00	1444,00	93,00	21,00	90,00	235,00	327,00	32,00	62,00	799,00	MARCIA BIN ESPOSA DO TESTINHA	3710,00	5686	4285	1401	11,78	13,40	38,92	2,51	0,57	2,43	6,33	0,86	1,67	21,54	-46,3478159	-23,5347259
L05013	295,00	155,00	371,00	938,00	54,00	5,00	48,00	124,00	200,00	27,00	54,00	528,00	MARCIA BIN ESPOSA DO TESTINHA	2444,00	3666	2799	867	12,07	15,18	38,38	2,21	0,20	1,96	5,07	1,10	2,21	21,60	-46,3523801	-23,5361385
L05014	369,00	181,00	602,00	1481,00	128,00	30,00	150,00	278,00	329,00	30,00	90,00	890,00	MARCIA BIN ESPOSA DO TESTINHA	4048,00	6165	4558	1607	9,12	14,87	36,59	3,16	0,74	3,71	6,87	0,74	2,22	21,99	-46,3413652	-23,5201693
L05015	382,00	193,00	703,00	1198,00	71,00	12,00	80,00	121,00	280,00	12,00	58,00	702,00	MARCIA BIN ESPOSA DO TESTINHA	3339,00	4775	3812	963	11,44	21,05	35,88	2,13	0,36	2,40	3,62	0,36	1,74	21,02	-46,3578871	-23,5206354
L05016	282,00	145,00	280,00	823,00	41,00	105,00	53,00	113,00	213,00	4,00	56,00	762,00	MARCIA BIN ESPOSA DO TESTINHA	2519,00	3712	2877	835	11,19	11,12	32,67	1,63	4,17	2,10	4,49	0,16	2,22	30,25	-46,3426396	-23,5419679
L05017	218,00	108,00	319,00	865,00	51,00	22,00	28,00	152,00	176,00	11,00	19,00	400,00	MARCIA BIN ESPOSA DO TESTINHA	2085,00	3004	2369	635	10,46	15,30	41,49	2,45	1,06	1,34	7,29	0,53	0,91	19,18	-46,3521940	-23,5473900
L05018	160,00	51,00	162,00	393,00	70,00	0,00	9,00	75,00	71,00	1,00	8,00	162,00	MARCIA BIN ESPOSA DO TESTINHA	1040,00	1434	1162	272	15,38	15,58	37,79	6,73	0,00	0,87	7,21	0,10	0,77	15,58	-46,3340150	-23,5331037
L05019	123,00	64,00	122,00	398,00	66,00	2,00	22,00	71,00	54,00	4,00	7,00	152,00	MARCIA BIN ESPOSA DO TESTINHA	967,00	1349	1085	264	12,72	12,62	41,16	6,83	0,21	2,28	7,34	0,41	0,72	15,72	-46,3380376	-23,5311420
L05020	121,00	68,00	199,00	504,00	47,00	12,00	43,00	93,00	105,00	7,00	20,00	266,00	MARCIA BIN ESPOSA DO TESTINHA	1312,00	2160	1485	675	9,22	15,17	38,41	3,58	0,91	3,28	7,09	0,53	1,52	20,27	-46,3439856	-23,5296432
L05021	153,00	92,00	195,00	563,00	53,00	5,00	32,00	118,00	137,00	9,00	18,00	321,00	MARCIA BIN ESPOSA DO TESTINHA	1467,00	2132	1696	436	10,43	13,29	38,38	3,61	0,34	2,18	8,04	0,61	1,23	21,88	-46,3410776	-23,5373743
L05022	142,00	86,00	208,00	567,00	24,00	14,00	20,00	180,00	111,00	7,00	23,00	304,00	MARCIA BIN ESPOSA DO TESTINHA	1489,00	2141	1686	455	9,54	13,97	38,08	1,61	0,94	1,34	12,09	0,47	1,54	20,42	-46,3516373	-23,5462355
L05023	142,00	57,00	240,00	393,00	25,00	3,00	32,00	31,00	83,00	2,00	15,00	259,00	MARCIA BIN ESPOSA DO TESTINHA	1142,00	1546	1282	264	12,43	21,02	34,41	2,19	0,26	2,80	2,71	0,18	1,31	22,68	-46,3597600	-23,5182320
L05024	61,00	30,00	90,00	232,00	27,00	6,00	26,00	59,00	41,00	7,00	12,00	203,00	MARCIA BIN ESPOSA DO TESTINHA	723,00	1083	794	289	8,44	12,45	32,09	3,73	0,83	3,60	8,16	0,97	1,66	28,08	-46,3421440	-23,5199230
L05025	158,00	75,00	230,00	606,00	68,00	8,00	57,00	116,00	116,00	5,00	21,00	274,00	MARCIA BIN ESPOSA DO TESTINHA	1543,00	2612	1734	878	10,24	14,91	39,27	4,41	0,52	3,69	7,52	0,32	1,36	17,76	-46,3456720	-23,5280468
L05026	188,00	122,00	284,00	728,00	54,00	7,00	68,00	112,00	158,00	10,00	31,00	519,00	MARCIA BIN ESPOSA DO TESTINHA	2001,00	2939	2281	658	9,40	14,19	36,38	2,70	0,35	3,40	5,60	0,50	1,55	25,94	-46,3518949	-23,5262154
L05027	144,00	108,00	225,00	595,00	93,00	11,00	47,00	100,00	122,00	1,00	12,00	348,00	MARCIA BIN ESPOSA DO TESTINHA	1576,00	2332	1806	526	9,14	14,28	37,75	5,90	0,70	2,98	6,35	0,06	0,76	22,08	-46,3337364	-23,5187973
L05028	127,00	76,00	215,00	657,00	25,00	2,00	27,00	76,00	131,00	4,00	15,00	221,00	MARCIA BIN ESPOSA DO TESTINHA	1369,00	2064	1576	488	9,28	15,70	47,99	1,83	0,15	1,97	5,55	0,29	1,10	16,14	-46,3458377	-23,5532285
L05029	202,00	150,00	372,00	1376,00	49,00	2,00	73,00	122,00	265,00	5,00	37,00	523,00	MARCIA BIN ESPOSA DO TESTINHA	2761,00	4129	3176	953	7,32	13,47	49,84	1,77	0,07	2,64	4,42	0,18	1,34	18,94	-46,3465347	-23,5526892
L05031	296,00	130,00	307,00	1022,00	154,00	3,00	56,00	224,00	173,00	7,00	25,00	514,00	MARCIA BIN ESPOSA DO TESTINHA	2608,00	3697	2911	786	11,35	11,77	39,19	5,90	0,12	2,15	8,59	0,27	0,96	19,71	-46,3388400	-23,5346484
L05032	52,00	39,00	116,00	344,00	12,00	1,00	11,00	40,00	89,00	1,00	11,00	145,00	MARCIA BIN ESPOSA DO TESTINHA	733,00	1123	861	262	7,09	15,83	46,93	1,64	0,14	1,50	5,46	0,14	1,50	19,78	-46,3459069	-23,5530722
L05033	556,00	192,00	691,00	1013,00	44,00	14,00	73,00	112,00	293,00	2,00	35,00	659,00	MARCIA BIN ESPOSA DO TESTINHA	3199,00	4835	3684	1151	17,38	21,60	31,67	1,38	0,44	2,28	3,50	0,06	1,09	20,60	-46,3621137	-23,5149420
