cod_local	ADRIANA AFONSO	Branco	EDUARDO BARRETO	ELÓI PIETÁ	FRAN CORREA	GUTI	JOVINO CANDIDO	Nulo	PROFESSOR AURIEL	PROFESSORA SANDRA SANTOS	RODRIGO TAVARES	SIMONE CARLETO	WAGNER FREITAS	vencedor	v_valid	e_apto	e_comp	e_abst	ADRIANA AFONSO_%	EDUARDO BARRETO_%	ELÓI PIETÁ_%	FRAN CORREA_%	GUTI_%	JOVINO CANDIDO_%	PROFESSOR AURIEL_%	PROFESSORA SANDRA SANTOS_%	RODRIGO TAVARES_%	SIMONE CARLETO_%	WAGNER FREITAS_%	longitude	latitude
L04030	56,00	135,00	8,00	499,00	306,00	1872,00	31,00	370,00	2,00	40,00	158,00	59,00	43,00	GUTI	3074,00	4565	3579	986	1,82	0,26	16,23	9,95	60,90	1,01	0,07	1,30	5,14	1,92	1,40	-46,5250906	-23,4552952
L04031	96,00	220,00	5,00	805,00	388,00	2078,00	12,00	440,00	1,00	36,00	194,00	63,00	41,00	GUTI	3719,00	5561	4379	1182	2,58	0,13	21,65	10,43	55,88	0,32	0,03	0,97	5,22	1,69	1,10	-46,5178969	-23,4509497
L04032	37,00	117,00	0,00	343,00	208,00	818,00	14,00	230,00	2,00	14,00	93,00	33,00	29,00	GUTI	1591,00	2351	1938	413	2,33	0,00	21,56	13,07	51,41	0,88	0,13	0,88	5,85	2,07	1,82	-46,5233803	-23,4390725
L04033	89,00	176,00	14,00	676,00	324,00	2126,00	25,00	503,00	8,00	48,00	203,00	118,00	48,00	GUTI	3679,00	5585	4358	1227	2,42	0,38	18,37	8,81	57,79	0,68	0,22	1,30	5,52	3,21	1,30	-46,5221381	-23,4625300
L04034	73,00	134,00	7,00	431,00	263,00	975,00	9,00	255,00	2,00	21,00	118,00	36,00	17,00	GUTI	1952,00	2776	2341	435	3,74	0,36	22,08	13,47	49,95	0,46	0,10	1,08	6,05	1,84	0,87	-46,5200816	-23,4395097
L04035	26,00	63,00	2,00	225,00	162,00	476,00	2,00	148,00	2,00	8,00	48,00	10,00	14,00	GUTI	975,00	1410	1186	224	2,67	0,21	23,08	16,62	48,82	0,21	0,21	0,82	4,92	1,03	1,44	-46,5225666	-23,4292113
L04036	51,00	121,00	7,00	304,00	151,00	1085,00	9,00	234,00	0,00	23,00	103,00	62,00	15,00	GUTI	1810,00	2791	2165	626	2,82	0,39	16,80	8,34	59,94	0,50	0,00	1,27	5,69	3,43	0,83	-46,5172187	-23,4664313
L04037	67,00	150,00	4,00	541,00	246,00	1979,00	21,00	289,00	1,00	33,00	157,00	95,00	26,00	GUTI	3170,00	4628	3609	1019	2,11	0,13	17,07	7,76	62,43	0,66	0,03	1,04	4,95	3,00	0,82	-46,5347298	-23,4577536
L04038	157,00	342,00	15,00	1257,00	657,00	2353,00	24,00	576,00	3,00	45,00	214,00	63,00	57,00	GUTI	4845,00	6975	5763	1212	3,24	0,31	25,94	13,56	48,57	0,50	0,06	0,93	4,42	1,30	1,18	-46,5218442	-23,4280169
L04039	114,00	331,00	11,00	1256,00	456,00	2532,00	23,00	644,00	5,00	83,00	187,00	59,00	53,00	GUTI	4779,00	7292	5754	1538	2,39	0,23	26,28	9,54	52,98	0,48	0,10	1,74	3,91	1,23	1,11	-46,5333820	-23,4320324
