cod_local	ADRIANA AFONSO	Branco	EDUARDO BARRETO	ELÓI PIETÁ	FRAN CORREA	GUTI	JOVINO CANDIDO	Nulo	PROFESSOR AURIEL	PROFESSORA SANDRA SANTOS	RODRIGO TAVARES	SIMONE CARLETO	WAGNER FREITAS	vencedor	v_valid	e_apto	e_comp	e_abst	ADRIANA AFONSO_%	EDUARDO BARRETO_%	ELÓI PIETÁ_%	FRAN CORREA_%	GUTI_%	JOVINO CANDIDO_%	PROFESSOR AURIEL_%	PROFESSORA SANDRA SANTOS_%	RODRIGO TAVARES_%	SIMONE CARLETO_%	WAGNER FREITAS_%	longitude	latitude
L06604	70,00	170,00	9,00	469,00	206,00	1801,00	17,00	340,00	0,00	41,00	103,00	78,00	26,00	GUTI	2820,00	4188	3330	858	2,48	0,32	16,63	7,30	63,87	0,60	0,00	1,45	3,65	2,77	0,92	-46,5464811	-23,4794649
L06605	117,00	201,00	6,00	543,00	297,00	1861,00	14,00	412,00	2,00	48,00	166,00	78,00	13,00	GUTI	3145,00	4654	3758	896	3,72	0,19	17,27	9,44	59,17	0,45	0,06	1,53	5,28	2,48	0,41	-46,5423233	-23,4725448
L06606	73,00	128,00	2,00	378,00	179,00	1491,00	14,00	280,00	3,00	33,00	115,00	66,00	21,00	GUTI	2375,00	3486	2783	703	3,07	0,08	15,92	7,54	62,78	0,59	0,13	1,39	4,84	2,78	0,88	-46,5368498	-23,4803586
L06607	97,00	138,00	6,00	453,00	169,00	1350,00	8,00	330,00	1,00	26,00	119,00	33,00	45,00	GUTI	2307,00	3496	2775	721	4,20	0,26	19,64	7,33	58,52	0,35	0,04	1,13	5,16	1,43	1,95	-46,5426685	-23,4588950
L06608	102,00	149,00	7,00	425,00	151,00	1317,00	11,00	262,00	0,00	37,00	92,00	53,00	20,00	GUTI	2215,00	3248	2626	622	4,60	0,32	19,19	6,82	59,46	0,50	0,00	1,67	4,15	2,39	0,90	-46,5619770	-23,4625208
L06609	63,00	122,00	2,00	238,00	115,00	995,00	10,00	202,00	0,00	13,00	64,00	24,00	13,00	GUTI	1537,00	2328	1861	467	4,10	0,13	15,48	7,48	64,74	0,65	0,00	0,85	4,16	1,56	0,85	-46,5538251	-23,4593526
L06610	45,00	177,00	4,00	750,00	150,00	1022,00	10,00	281,00	2,00	19,00	64,00	32,00	28,00	GUTI	2126,00	3125	2584	541	2,12	0,19	35,28	7,06	48,07	0,47	0,09	0,89	3,01	1,51	1,32	-46,5567765	-23,4697758
L06611	28,00	97,00	5,00	334,00	266,00	467,00	4,00	187,00	0,00	16,00	36,00	22,00	10,00	GUTI	1188,00	1851	1472	379	2,36	0,42	28,11	22,39	39,31	0,34	0,00	1,35	3,03	1,85	0,84	-46,5502169	-23,4903597
L06612	50,00	100,00	3,00	340,00	96,00	767,00	3,00	187,00	0,00	17,00	60,00	32,00	9,00	GUTI	1377,00	2056	1664	392	3,63	0,22	24,69	6,97	55,70	0,22	0,00	1,23	4,36	2,32	0,65	-46,5384397	-23,4639462
L06613	13,00	56,00	1,00	113,00	67,00	379,00	1,00	115,00	0,00	5,00	32,00	25,00	5,00	GUTI	641,00	1056	812	244	2,03	0,16	17,63	10,45	59,13	0,16	0,00	0,78	4,99	3,90	0,78	-46,5480261	-23,5005586
L06614	18,00	56,00	2,00	118,00	69,00	424,00	1,00	126,00	1,00	9,00	29,00	22,00	13,00	GUTI	706,00	1162	888	274	2,55	0,28	16,71	9,77	60,06	0,14	0,14	1,27	4,11	3,12	1,84	-46,5497994	-23,5030196
L06615	40,00	48,00	5,00	186,00	55,00	517,00	2,00	135,00	0,00	13,00	45,00	27,00	9,00	GUTI	899,00	1375	1082	293	4,45	0,56	20,69	6,12	57,51	0,22	0,00	1,45	5,01	3,00	1,00	-46,5425522	-23,4666121
L06616	44,00	87,00	1,00	292,00	92,00	770,00	3,00	213,00	2,00	27,00	48,00	42,00	18,00	GUTI	1339,00	2033	1639	394	3,29	0,07	21,81	6,87	57,51	0,22	0,15	2,02	3,58	3,14	1,34	-46,5524295	-23,4793193
L06617	17,00	55,00	2,00	70,00	63,00	355,00	6,00	100,00	1,00	10,00	15,00	21,00	10,00	GUTI	570,00	879	725	154	2,98	0,35	12,28	11,05	62,28	1,05	0,18	1,75	2,63	3,68	1,75	-46,5532090	-23,4944749
L06618	35,00	74,00	4,00	213,00	84,00	682,00	1,00	128,00	1,00	18,00	61,00	57,00	7,00	GUTI	1163,00	1808	1365	443	3,01	0,34	18,31	7,22	58,64	0,09	0,09	1,55	5,25	4,90	0,60	-46,5471378	-23,4805844
L06619	30,00	28,00	4,00	99,00	51,00	349,00	1,00	64,00	1,00	13,00	31,00	20,00	4,00	GUTI	603,00	945	695	250	4,98	0,66	16,42	8,46	57,88	0,17	0,17	2,16	5,14	3,32	0,66	-46,5368498	-23,4803586
L06620	52,00	67,00	2,00	206,00	60,00	529,00	5,00	148,00	1,00	22,00	40,00	19,00	8,00	GUTI	944,00	1425	1159	266	5,51	0,21	21,82	6,36	56,04	0,53	0,11	2,33	4,24	2,01	0,85	-46,5509395	-23,4687509
L06621	40,00	77,00	2,00	227,00	77,00	692,00	6,00	188,00	1,00	10,00	69,00	25,00	7,00	GUTI	1156,00	1733	1421	312	3,46	0,17	19,64	6,66	59,86	0,52	0,09	0,87	5,97	2,16	0,61	-46,5505948	-23,4602271
L06622	27,00	43,00	3,00	114,00	39,00	324,00	3,00	75,00	1,00	9,00	33,00	15,00	8,00	GUTI	576,00	865	694	171	4,69	0,52	19,79	6,77	56,25	0,52	0,17	1,56	5,73	2,60	1,39	-46,5537840	-23,4681480
L06623	38,00	104,00	3,00	294,00	80,00	802,00	6,00	215,00	1,00	19,00	37,00	33,00	9,00	GUTI	1322,00	1950	1641	309	2,87	0,23	22,24	6,05	60,67	0,45	0,08	1,44	2,80	2,50	0,68	-46,5600699	-23,4660719
L06624	52,00	152,00	1,00	487,00	256,00	857,00	4,00	279,00	4,00	43,00	53,00	16,00	16,00	GUTI	1789,00	2744	2220	524	2,91	0,06	27,22	14,31	47,90	0,22	0,22	2,40	2,96	0,89	0,89	-46,5045704	-23,4243582
L06625	51,00	127,00	3,00	448,00	212,00	696,00	4,00	198,00	3,00	20,00	85,00	28,00	19,00	GUTI	1569,00	2378	1894	484	3,25	0,19	28,55	13,51	44,36	0,25	0,19	1,27	5,42	1,78	1,21	-46,5011844	-23,4290384
L06626	80,00	172,00	7,00	585,00	284,00	1294,00	10,00	353,00	8,00	34,00	122,00	65,00	21,00	GUTI	2510,00	3759	3035	724	3,19	0,28	23,31	11,31	51,55	0,40	0,32	1,35	4,86	2,59	0,84	-46,5107127	-23,4539298
L06627	33,00	76,00	5,00	215,00	110,00	503,00	3,00	132,00	1,00	19,00	43,00	34,00	5,00	GUTI	971,00	1469	1179	290	3,40	0,51	22,14	11,33	51,80	0,31	0,10	1,96	4,43	3,50	0,51	-46,5068802	-23,4538921
L06628	115,00	169,00	7,00	574,00	279,00	1257,00	9,00	321,00	6,00	40,00	104,00	57,00	20,00	GUTI	2468,00	3580	2958	622	4,66	0,28	23,26	11,30	50,93	0,36	0,24	1,62	4,21	2,31	0,81	-46,5095998	-23,4618149
L06629	56,00	131,00	2,00	553,00	258,00	776,00	12,00	208,00	5,00	27,00	79,00	32,00	24,00	GUTI	1824,00	2635	2163	472	3,07	0,11	30,32	14,14	42,54	0,66	0,27	1,48	4,33	1,75	1,32	-46,5152025	-23,4480885
L06630	98,00	190,00	4,00	876,00	395,00	1271,00	9,00	344,00	3,00	47,00	92,00	23,00	15,00	GUTI	2833,00	3968	3367	601	3,46	0,14	30,92	13,94	44,86	0,32	0,11	1,66	3,25	0,81	0,53	-46,5008477	-23,4246555
L06631	81,00	223,00	10,00	655,00	447,00	1415,00	3,00	407,00	7,00	28,00	110,00	43,00	23,00	GUTI	2822,00	4227	3452	775	2,87	0,35	23,21	15,84	50,14	0,11	0,25	0,99	3,90	1,52	0,82	-46,5076553	-23,4362492
L06632	210,00	360,00	10,00	1496,00	485,00	1428,00	8,00	555,00	1,00	27,00	100,00	54,00	26,00	ELÓI PIETÁ	3845,00	5911	4760	1151	5,46	0,26	38,91	12,61	37,14	0,21	0,03	0,70	2,60	1,40	0,68	-46,4933909	-23,4194569
L06633	37,00	83,00	2,00	287,00	137,00	466,00	2,00	167,00	2,00	19,00	39,00	6,00	14,00	GUTI	1011,00	1495	1261	234	3,66	0,20	28,39	13,55	46,09	0,20	0,20	1,88	3,86	0,59	1,38	-46,5143356	-23,4331372
L06634	105,00	251,00	1,00	1268,00	471,00	1525,00	3,00	469,00	6,00	27,00	104,00	28,00	28,00	GUTI	3566,00	5269	4286	983	2,94	0,03	35,56	13,21	42,77	0,08	0,17	0,76	2,92	0,79	0,79	-46,4972144	-23,4091590
L06635	105,00	226,00	7,00	1145,00	377,00	1429,00	3,00	400,00	3,00	17,00	133,00	38,00	35,00	GUTI	3292,00	4636	3918	718	3,19	0,21	34,78	11,45	43,41	0,09	0,09	0,52	4,04	1,15	1,06	-46,4960369	-23,4157394
L06636	74,00	136,00	2,00	774,00	290,00	890,00	7,00	287,00	2,00	15,00	62,00	9,00	16,00	GUTI	2141,00	3067	2564	503	3,46	0,09	36,15	13,55	41,57	0,33	0,09	0,70	2,90	0,42	0,75	-46,5010794	-23,4082922
L06637	106,00	268,00	6,00	1238,00	279,00	1133,00	8,00	439,00	6,00	34,00	80,00	24,00	107,00	ELÓI PIETÁ	3021,00	4493	3728	765	3,51	0,20	40,98	9,24	37,50	0,26	0,20	1,13	2,65	0,79	3,54	-46,4862817	-23,4057433
L06638	84,00	201,00	8,00	854,00	367,00	1522,00	13,00	383,00	1,00	126,00	111,00	23,00	10,00	GUTI	3119,00	4389	3703	686	2,69	0,26	27,38	11,77	48,80	0,42	0,03	4,04	3,56	0,74	0,32	-46,5108984	-23,4160796
L06639	127,00	296,00	15,00	742,00	536,00	1961,00	20,00	509,00	4,00	46,00	168,00	40,00	40,00	GUTI	3699,00	5535	4504	1031	3,43	0,41	20,06	14,49	53,01	0,54	0,11	1,24	4,54	1,08	1,08	-46,5101307	-23,4343788
L06640	68,00	126,00	4,00	498,00	247,00	885,00	7,00	302,00	2,00	17,00	84,00	28,00	14,00	GUTI	1854,00	2700	2282	418	3,67	0,22	26,86	13,32	47,73	0,38	0,11	0,92	4,53	1,51	0,76	-46,5106590	-23,4439176
L06641	131,00	343,00	6,00	1178,00	475,00	1789,00	14,00	563,00	6,00	177,00	140,00	48,00	28,00	GUTI	3992,00	5813	4898	915	3,28	0,15	29,51	11,90	44,81	0,35	0,15	4,43	3,51	1,20	0,70	-46,5044429	-23,4216203
L06642	89,00	154,00	4,00	821,00	262,00	920,00	11,00	325,00	1,00	29,00	89,00	17,00	35,00	GUTI	2278,00	3336	2757	579	3,91	0,18	36,04	11,50	40,39	0,48	0,04	1,27	3,91	0,75	1,54	-46,5029171	-23,4317468
L06643	135,00	260,00	10,00	924,00	604,00	2065,00	23,00	537,00	2,00	65,00	168,00	64,00	30,00	GUTI	4090,00	5949	4887	1062	3,30	0,24	22,59	14,77	50,49	0,56	0,05	1,59	4,11	1,56	0,73	-46,5046999	-23,4484229
L06644	159,00	162,00	8,00	704,00	291,00	1211,00	7,00	336,00	2,00	37,00	108,00	48,00	22,00	GUTI	2597,00	3706	3095	611	6,12	0,31	27,11	11,21	46,63	0,27	0,08	1,42	4,16	1,85	0,85	-46,5063124	-23,4580645
L06645	121,00	288,00	8,00	1135,00	523,00	2140,00	13,00	535,00	6,00	40,00	170,00	58,00	44,00	GUTI	4258,00	6184	5081	1103	2,84	0,19	26,66	12,28	50,26	0,31	0,14	0,94	3,99	1,36	1,03	-46,5069535	-23,4312359
L06646	86,00	208,00	6,00	626,00	398,00	1611,00	27,00	416,00	5,00	38,00	148,00	41,00	33,00	GUTI	3019,00	4427	3643	784	2,85	0,20	20,74	13,18	53,36	0,89	0,17	1,26	4,90	1,36	1,09	-46,5109205	-23,4407732
L06647	41,00	170,00	7,00	535,00	255,00	1054,00	5,00	275,00	0,00	23,00	79,00	27,00	28,00	GUTI	2054,00	3031	2499	532	2,00	0,34	26,05	12,41	51,31	0,24	0,00	1,12	3,85	1,31	1,36	-46,5150722	-23,4316739
L06648	45,00	84,00	3,00	345,00	148,00	487,00	1,00	168,00	0,00	11,00	49,00	12,00	10,00	GUTI	1111,00	1753	1363	390	4,05	0,27	31,05	13,32	43,83	0,09	0,00	0,99	4,41	1,08	0,90	-46,4933909	-23,4194569
L06649	95,00	175,00	13,00	599,00	264,00	1319,00	9,00	336,00	4,00	28,00	112,00	44,00	35,00	GUTI	2522,00	3756	3033	723	3,77	0,52	23,75	10,47	52,30	0,36	0,16	1,11	4,44	1,74	1,39	-46,5101326	-23,4531041
L06650	34,00	69,00	2,00	321,00	155,00	411,00	1,00	139,00	1,00	5,00	29,00	4,00	7,00	GUTI	970,00	1442	1178	264	3,51	0,21	33,09	15,98	42,37	0,10	0,10	0,52	2,99	0,41	0,72	-46,4956680	-23,4116380
L06651	19,00	34,00	1,00	140,00	69,00	262,00	0,00	84,00	1,00	21,00	6,00	11,00	1,00	GUTI	531,00	823	649	174	3,58	0,19	26,37	12,99	49,34	0,00	0,19	3,95	1,13	2,07	0,19	-46,5088090	-23,4152797
L06652	10,00	31,00	1,00	91,00	57,00	175,00	1,00	49,00	0,00	2,00	21,00	10,00	1,00	GUTI	369,00	558	449	109	2,71	0,27	24,66	15,45	47,43	0,27	0,00	0,54	5,69	2,71	0,27	-46,5135154	-23,4439673
L06653	39,00	73,00	1,00	388,00	116,00	334,00	4,00	144,00	0,00	12,00	51,00	9,00	7,00	ELÓI PIETÁ	961,00	1422	1178	244	4,06	0,10	40,37	12,07	34,76	0,42	0,00	1,25	5,31	0,94	0,73	-46,5018088	-23,4308419
L06654	31,00	42,00	2,00	159,00	74,00	278,00	0,00	98,00	0,00	12,00	33,00	18,00	5,00	GUTI	612,00	945	752	193	5,07	0,33	25,98	12,09	45,42	0,00	0,00	1,96	5,39	2,94	0,82	-46,5099700	-23,4595725
L06655	19,00	53,00	3,00	263,00	95,00	320,00	0,00	92,00	2,00	6,00	15,00	6,00	4,00	GUTI	733,00	1078	878	200	2,59	0,41	35,88	12,96	43,66	0,00	0,27	0,82	2,05	0,82	0,55	-46,5033620	-23,4092590
L06656	12,00	42,00	0,00	131,00	45,00	222,00	2,00	60,00	3,00	4,00	18,00	8,00	5,00	GUTI	450,00	744	552	192	2,67	0,00	29,11	10,00	49,33	0,44	0,67	0,89	4,00	1,78	1,11	-46,5152366	-23,4472186
L06657	67,00	176,00	2,00	839,00	231,00	872,00	6,00	274,00	4,00	24,00	52,00	20,00	54,00	GUTI	2171,00	3254	2621	633	3,09	0,09	38,65	10,64	40,17	0,28	0,18	1,11	2,40	0,92	2,49	-46,4932521	-23,4075649
L06658	57,00	143,00	4,00	666,00	294,00	951,00	10,00	296,00	4,00	27,00	64,00	20,00	26,00	GUTI	2123,00	3124	2562	562	2,68	0,19	31,37	13,85	44,80	0,47	0,19	1,27	3,01	0,94	1,22	-46,5101123	-23,4286618
L06659	45,00	79,00	5,00	298,00	211,00	640,00	5,00	172,00	0,00	16,00	35,00	31,00	8,00	GUTI	1294,00	1880	1545	335	3,48	0,39	23,03	16,31	49,46	0,39	0,00	1,24	2,70	2,40	0,62	-46,5039161	-23,4489787
L07068	97,00	223,00	9,00	876,00	190,00	1489,00	6,00	501,00	6,00	29,00	160,00	54,00	29,00	GUTI	2945,00	4413	3669	744	3,29	0,31	29,75	6,45	50,56	0,20	0,20	0,98	5,43	1,83	0,98	-46,4183034	-23,4225518
L08497	98,00	198,00	4,00	586,00	217,00	1944,00	10,00	449,00	1,00	42,00	148,00	83,00	22,00	GUTI	3155,00	5027	3802	1225	3,11	0,13	18,57	6,88	61,62	0,32	0,03	1,33	4,69	2,63	0,70	-46,5560400	-23,4515991
L09785	48,00	114,00	4,00	344,00	154,00	1124,00	5,00	226,00	2,00	23,00	80,00	62,00	17,00	GUTI	1863,00	2951	2203	748	2,58	0,21	18,46	8,27	60,33	0,27	0,11	1,23	4,29	3,33	0,91	-46,5368630	-23,4401670
L09786	22,00	76,00	4,00	479,00	199,00	236,00	2,00	132,00	0,00	7,00	9,00	5,00	16,00	ELÓI PIETÁ	979,00	1446	1187	259	2,25	0,41	48,93	20,33	24,11	0,20	0,00	0,72	0,92	0,51	1,63	-46,5393572	-23,4082193
L09787	57,00	170,00	9,00	291,00	125,00	1041,00	9,00	252,00	3,00	27,00	101,00	61,00	25,00	GUTI	1749,00	2810	2171	639	3,26	0,51	16,64	7,15	59,52	0,51	0,17	1,54	5,77	3,49	1,43	-46,5659510	-23,4593190
L09788	40,00	74,00	4,00	236,00	111,00	997,00	5,00	193,00	1,00	22,00	84,00	44,00	16,00	GUTI	1560,00	2307	1827	480	2,56	0,26	15,13	7,12	63,91	0,32	0,06	1,41	5,38	2,82	1,03	-46,5460249	-23,4541953
L09789	14,00	24,00	0,00	68,00	49,00	168,00	0,00	45,00	0,00	3,00	19,00	4,00	0,00	GUTI	325,00	553	394	159	4,31	0,00	20,92	15,08	51,69	0,00	0,00	0,92	5,85	1,23	0,00	-46,5491313	-23,4389386
L09790	63,00	157,00	7,00	312,00	145,00	1315,00	4,00	244,00	3,00	35,00	108,00	93,00	17,00	GUTI	2102,00	3332	2503	829	3,00	0,33	14,84	6,90	62,56	0,19	0,14	1,67	5,14	4,42	0,81	-46,5546942	-23,4528509
L09791	31,00	122,00	3,00	727,00	182,00	742,00	5,00	233,00	1,00	11,00	30,00	4,00	9,00	GUTI	1745,00	2578	2100	478	1,78	0,17	41,66	10,43	42,52	0,29	0,06	0,63	1,72	0,23	0,52	-46,5196842	-23,3998219
L09792	66,00	299,00	6,00	1100,00	291,00	1093,00	10,00	362,00	4,00	25,00	59,00	23,00	32,00	ELÓI PIETÁ	2709,00	4352	3370	982	2,44	0,22	40,61	10,74	40,35	0,37	0,15	0,92	2,18	0,85	1,18	-46,5222530	-23,3978071
L09793	95,00	192,00	11,00	638,00	266,00	1859,00	6,00	491,00	8,00	31,00	158,00	81,00	47,00	GUTI	3200,00	4997	3883	1114	2,97	0,34	19,94	8,31	58,09	0,19	0,25	0,97	4,94	2,53	1,47	-46,5414126	-23,4449188
L09794	29,00	67,00	2,00	210,00	84,00	754,00	1,00	159,00	0,00	16,00	50,00	15,00	20,00	GUTI	1181,00	1749	1407	342	2,46	0,17	17,78	7,11	63,84	0,08	0,00	1,35	4,23	1,27	1,69	-46,5460300	-23,4567593
L09795	80,00	207,00	8,00	694,00	303,00	1839,00	12,00	462,00	1,00	29,00	165,00	54,00	52,00	GUTI	3237,00	5044	3906	1138	2,47	0,25	21,44	9,36	56,81	0,37	0,03	0,90	5,10	1,67	1,61	-46,5427459	-23,4505121
L09796	59,00	242,00	9,00	798,00	289,00	1499,00	7,00	388,00	1,00	29,00	90,00	47,00	16,00	GUTI	2844,00	4282	3474	808	2,07	0,32	28,06	10,16	52,71	0,25	0,04	1,02	3,16	1,65	0,56	-46,5546684	-23,4228617
L09797	82,00	174,00	5,00	434,00	121,00	1326,00	8,00	391,00	3,00	41,00	104,00	60,00	27,00	GUTI	2211,00	3525	2776	749	3,71	0,23	19,63	5,47	59,97	0,36	0,14	1,85	4,70	2,71	1,22	-46,5645254	-23,4578160
L09798	110,00	247,00	9,00	618,00	253,00	1774,00	10,00	496,00	1,00	31,00	111,00	91,00	49,00	GUTI	3057,00	5013	3800	1213	3,60	0,29	20,22	8,28	58,03	0,33	0,03	1,01	3,63	2,98	1,60	-46,5603066	-23,4492343
L09799	120,00	193,00	10,00	752,00	189,00	1764,00	8,00	383,00	0,00	23,00	116,00	40,00	30,00	GUTI	3052,00	4384	3628	756	3,93	0,33	24,64	6,19	57,80	0,26	0,00	0,75	3,80	1,31	0,98	-46,5550646	-23,4340925
L09800	98,00	224,00	4,00	684,00	322,00	1614,00	8,00	420,00	1,00	34,00	127,00	71,00	33,00	GUTI	2996,00	4917	3640	1277	3,27	0,13	22,83	10,75	53,87	0,27	0,03	1,13	4,24	2,37	1,10	-46,5484944	-23,4461673
L09801	42,00	223,00	4,00	1043,00	321,00	980,00	10,00	327,00	0,00	25,00	43,00	16,00	78,00	ELÓI PIETÁ	2562,00	3870	3112	758	1,64	0,16	40,71	12,53	38,25	0,39	0,00	0,98	1,68	0,62	3,04	-46,5362158	-23,4040658
L09802	46,00	107,00	4,00	440,00	234,00	729,00	4,00	214,00	1,00	19,00	58,00	26,00	8,00	GUTI	1569,00	2234	1890	344	2,93	0,25	28,04	14,91	46,46	0,25	0,06	1,21	3,70	1,66	0,51	-46,5475487	-23,4366943
L09803	112,00	301,00	9,00	930,00	278,00	2098,00	7,00	579,00	2,00	45,00	110,00	75,00	27,00	GUTI	3693,00	5928	4573	1355	3,03	0,24	25,18	7,53	56,81	0,19	0,05	1,22	2,98	2,03	0,73	-46,5561613	-23,4338322
L09804	77,00	240,00	6,00	862,00	396,00	1311,00	13,00	424,00	0,00	39,00	88,00	63,00	9,00	GUTI	2864,00	4500	3528	972	2,69	0,21	30,10	13,83	45,78	0,45	0,00	1,36	3,07	2,20	0,31	-46,5483783	-23,4363400
L09805	105,00	185,00	5,00	530,00	198,00	1397,00	10,00	395,00	0,00	21,00	107,00	36,00	25,00	GUTI	2434,00	3838	3014	824	4,31	0,21	21,77	8,13	57,40	0,41	0,00	0,86	4,40	1,48	1,03	-46,5559629	-23,4447718
L09806	72,00	269,00	23,00	976,00	296,00	1532,00	6,00	463,00	4,00	30,00	111,00	39,00	32,00	GUTI	3121,00	4729	3853	876	2,31	0,74	31,27	9,48	49,09	0,19	0,13	0,96	3,56	1,25	1,03	-46,5633619	-23,4319629
L09807	64,00	184,00	5,00	638,00	309,00	1024,00	5,00	298,00	2,00	30,00	79,00	40,00	15,00	GUTI	2211,00	3349	2693	656	2,89	0,23	28,86	13,98	46,31	0,23	0,09	1,36	3,57	1,81	0,68	-46,5489569	-23,4357724
L09808	63,00	184,00	11,00	463,00	227,00	997,00	4,00	252,00	1,00	33,00	67,00	31,00	20,00	GUTI	1917,00	3071	2353	718	3,29	0,57	24,15	11,84	52,01	0,21	0,05	1,72	3,50	1,62	1,04	-46,5531760	-23,4384305
L09809	50,00	174,00	17,00	580,00	180,00	918,00	4,00	270,00	2,00	21,00	63,00	31,00	13,00	GUTI	1879,00	2912	2323	589	2,66	0,90	30,87	9,58	48,86	0,21	0,11	1,12	3,35	1,65	0,69	-46,5629586	-23,4343390
L09810	45,00	105,00	8,00	468,00	149,00	728,00	6,00	215,00	1,00	11,00	47,00	39,00	4,00	GUTI	1506,00	2287	1826	461	2,99	0,53	31,08	9,89	48,34	0,40	0,07	0,73	3,12	2,59	0,27	-46,5511363	-23,4262958
L09811	39,00	95,00	4,00	270,00	121,00	675,00	2,00	159,00	1,00	16,00	62,00	28,00	45,00	GUTI	1263,00	1989	1517	472	3,09	0,32	21,38	9,58	53,44	0,16	0,08	1,27	4,91	2,22	3,56	-46,5405794	-23,4474493
L09812	56,00	198,00	4,00	818,00	203,00	1366,00	7,00	343,00	1,00	60,00	71,00	44,00	13,00	GUTI	2643,00	3946	3184	762	2,12	0,15	30,95	7,68	51,68	0,26	0,04	2,27	2,69	1,66	0,49	-46,5448990	-23,4279439
L09813	18,00	53,00	3,00	141,00	64,00	319,00	7,00	87,00	0,00	7,00	36,00	13,00	18,00	GUTI	626,00	961	766	195	2,88	0,48	22,52	10,22	50,96	1,12	0,00	1,12	5,75	2,08	2,88	-46,5689968	-23,4538313
L09814	21,00	52,00	1,00	114,00	45,00	515,00	4,00	108,00	2,00	3,00	19,00	22,00	4,00	GUTI	750,00	1149	910	239	2,80	0,13	15,20	6,00	68,67	0,53	0,27	0,40	2,53	2,93	0,53	-46,5564460	-23,4500298
L09815	22,00	32,00	0,00	77,00	44,00	317,00	2,00	60,00	0,00	2,00	24,00	10,00	2,00	GUTI	500,00	717	592	125	4,40	0,00	15,40	8,80	63,40	0,40	0,00	0,40	4,80	2,00	0,40	-46,5469652	-23,4527738
L09816	47,00	123,00	6,00	801,00	122,00	757,00	10,00	219,00	2,00	16,00	23,00	6,00	16,00	ELÓI PIETÁ	1806,00	2488	2148	340	2,60	0,33	44,35	6,76	41,92	0,55	0,11	0,89	1,27	0,33	0,89	-46,5168696	-23,4061812
L09817	149,00	270,00	14,00	796,00	369,00	3320,00	20,00	587,00	3,00	53,00	256,00	121,00	32,00	GUTI	5133,00	7850	5990	1860	2,90	0,27	15,51	7,19	64,68	0,39	0,06	1,03	4,99	2,36	0,62	-46,5575625	-23,4485828
L09818	91,00	283,00	23,00	1756,00	397,00	1418,00	10,00	539,00	0,00	41,00	128,00	68,00	29,00	ELÓI PIETÁ	3961,00	5884	4783	1101	2,30	0,58	44,33	10,02	35,80	0,25	0,00	1,04	3,23	1,72	0,73	-46,4376679	-23,3997821
L09819	64,00	284,00	5,00	1893,00	325,00	1168,00	7,00	504,00	15,00	15,00	81,00	20,00	70,00	ELÓI PIETÁ	3663,00	5798	4451	1347	1,75	0,14	51,68	8,87	31,89	0,19	0,41	0,41	2,21	0,55	1,91	-46,4161970	-23,4051055
L09820	47,00	176,00	5,00	913,00	204,00	1064,00	4,00	362,00	14,00	14,00	57,00	14,00	35,00	GUTI	2371,00	3538	2909	629	1,98	0,21	38,51	8,60	44,88	0,17	0,59	0,59	2,40	0,59	1,48	-46,4061990	-23,4172553
L09821	134,00	363,00	23,00	1269,00	456,00	2247,00	15,00	689,00	1,00	31,00	174,00	58,00	33,00	GUTI	4441,00	6668	5493	1175	3,02	0,52	28,57	10,27	50,60	0,34	0,02	0,70	3,92	1,31	0,74	-46,4713471	-23,4164380
L09822	117,00	273,00	19,00	905,00	340,00	1325,00	7,00	550,00	5,00	43,00	125,00	57,00	26,00	GUTI	2969,00	4717	3792	925	3,94	0,64	30,48	11,45	44,63	0,24	0,17	1,45	4,21	1,92	0,88	-46,4599054	-23,4173154
L09823	27,00	64,00	8,00	219,00	76,00	277,00	2,00	119,00	0,00	5,00	26,00	12,00	8,00	GUTI	660,00	1034	843	191	4,09	1,21	33,18	11,52	41,97	0,30	0,00	0,76	3,94	1,82	1,21	-46,4514827	-23,4142506
L09824	94,00	283,00	26,00	1234,00	364,00	1502,00	8,00	549,00	3,00	36,00	110,00	76,00	25,00	GUTI	3478,00	5303	4310	993	2,70	0,75	35,48	10,47	43,19	0,23	0,09	1,04	3,16	2,19	0,72	-46,4460270	-23,4107410
L09825	43,00	204,00	4,00	715,00	292,00	591,00	3,00	261,00	31,00	20,00	46,00	24,00	20,00	ELÓI PIETÁ	1789,00	2708	2254	454	2,40	0,22	39,97	16,32	33,04	0,17	1,73	1,12	2,57	1,34	1,12	-46,3717961	-23,4135789
L09826	31,00	96,00	10,00	340,00	68,00	440,00	1,00	160,00	2,00	36,00	34,00	9,00	18,00	GUTI	989,00	1500	1245	255	3,13	1,01	34,38	6,88	44,49	0,10	0,20	3,64	3,44	0,91	1,82	-46,4060026	-23,3664058
L09827	35,00	153,00	3,00	667,00	214,00	774,00	6,00	268,00	5,00	11,00	54,00	18,00	28,00	GUTI	1815,00	2739	2236	503	1,93	0,17	36,75	11,79	42,64	0,33	0,28	0,61	2,98	0,99	1,54	-46,4073298	-23,4187234
L09828	70,00	264,00	18,00	1443,00	382,00	1122,00	9,00	515,00	4,00	47,00	82,00	46,00	22,00	ELÓI PIETÁ	3245,00	5350	4024	1326	2,16	0,55	44,47	11,77	34,58	0,28	0,12	1,45	2,53	1,42	0,68	-46,4373582	-23,3998282
