cod_local	Branco	CRISTIANE AMORIM	DRA BETE	GERALDO CRUZ	NEY SANTOS	Nulo	REY MARTINS	ROSÂNGELA SANTOS	SARGENTO RUAS O SHERIFF	vencedor	v_valid	e_apto	e_comp	e_abst	CRISTIANE AMORIM_%	DRA BETE_%	GERALDO CRUZ_%	NEY SANTOS_%	REY MARTINS_%	ROSÂNGELA SANTOS_%	SARGENTO RUAS O SHERIFF_%	longitude	latitude
L08013	110,00	0,00	125,00	207,00	1042,00	204,00	4,00	432,00	53,00	NEY SANTOS	1863,00	2820	2177	643	0,00	6,71	11,11	55,93	0,21	23,19	2,84	-46,8184279	-23,6517056
L08014	192,00	1,00	40,00	362,00	1698,00	266,00	6,00	453,00	68,00	NEY SANTOS	2628,00	3889	3086	803	0,04	1,52	13,77	64,61	0,23	17,24	2,59	-46,8262088	-23,6279983
L08015	185,00	0,00	106,00	254,00	1437,00	267,00	2,00	403,00	41,00	NEY SANTOS	2243,00	3433	2695	738	0,00	4,73	11,32	64,07	0,09	17,97	1,83	-46,8077371	-23,6434693
L08016	72,00	0,00	35,00	213,00	480,00	111,00	8,00	406,00	55,00	NEY SANTOS	1197,00	1770	1380	390	0,00	2,92	17,79	40,10	0,67	33,92	4,59	-46,8572485	-23,6419044
L08017	112,00	1,00	92,00	324,00	865,00	173,00	9,00	241,00	90,00	NEY SANTOS	1622,00	2539	1907	632	0,06	5,67	19,98	53,33	0,55	14,86	5,55	-46,8997040	-23,6432158
L08018	94,00	1,00	68,00	348,00	856,00	167,00	11,00	266,00	45,00	NEY SANTOS	1595,00	2349	1856	493	0,06	4,26	21,82	53,67	0,69	16,68	2,82	-46,8487206	-23,6553446
L08019	161,00	2,00	111,00	447,00	1124,00	197,00	7,00	375,00	100,00	NEY SANTOS	2166,00	3288	2524	764	0,09	5,12	20,64	51,89	0,32	17,31	4,62	-46,8485912	-23,6453295
L08020	117,00	0,00	67,00	378,00	1029,00	129,00	19,00	146,00	24,00	NEY SANTOS	1663,00	2482	1909	573	0,00	4,03	22,73	61,88	1,14	8,78	1,44	-46,8736085	-23,6784976
L08021	76,00	0,00	47,00	80,00	501,00	102,00	0,00	319,00	28,00	NEY SANTOS	975,00	1513	1153	360	0,00	4,82	8,21	51,38	0,00	32,72	2,87	-46,8503124	-23,6236498
L08022	193,00	0,00	112,00	561,00	1022,00	223,00	10,00	361,00	26,00	NEY SANTOS	2092,00	3140	2508	632	0,00	5,35	26,82	48,85	0,48	17,26	1,24	-46,8468148	-23,6723725
L08023	56,00	0,00	28,00	185,00	549,00	110,00	0,00	217,00	15,00	NEY SANTOS	994,00	1471	1160	311	0,00	2,82	18,61	55,23	0,00	21,83	1,51	-46,8424877	-23,6556493
L08024	138,00	0,00	135,00	520,00	751,00	196,00	16,00	313,00	126,00	NEY SANTOS	1861,00	2898	2195	703	0,00	7,25	27,94	40,35	0,86	16,82	6,77	-46,8609293	-23,6489209
L08025	228,00	0,00	166,00	426,00	1769,00	335,00	3,00	742,00	64,00	NEY SANTOS	3170,00	4610	3733	877	0,00	5,24	13,44	55,80	0,09	23,41	2,02	-46,8178244	-23,6488430
L08026	114,00	1,00	120,00	485,00	774,00	183,00	10,00	224,00	93,00	NEY SANTOS	1707,00	2749	2004	745	0,06	7,03	28,41	45,34	0,59	13,12	5,45	-46,8504836	-23,6538915
L08027	95,00	0,00	34,00	131,00	743,00	117,00	2,00	232,00	46,00	NEY SANTOS	1188,00	1866	1400	466	0,00	2,86	11,03	62,54	0,17	19,53	3,87	-46,8239963	-23,6289539
L08028	84,00	0,00	142,00	167,00	318,00	119,00	12,00	89,00	42,00	NEY SANTOS	770,00	1261	973	288	0,00	18,44	21,69	41,30	1,56	11,56	5,45	-46,8803086	-23,6288350
L08029	144,00	0,00	44,00	202,00	925,00	152,00	4,00	149,00	58,00	NEY SANTOS	1382,00	2118	1678	440	0,00	3,18	14,62	66,93	0,29	10,78	4,20	-46,8141467	-23,6292761
L08030	109,00	1,00	96,00	330,00	593,00	157,00	11,00	180,00	78,00	NEY SANTOS	1289,00	2066	1555	511	0,08	7,45	25,60	46,00	0,85	13,96	6,05	-46,8569917	-23,6538808
L08031	95,00	0,00	72,00	211,00	675,00	126,00	2,00	200,00	44,00	NEY SANTOS	1204,00	1823	1425	398	0,00	5,98	17,52	56,06	0,17	16,61	3,65	-46,8388459	-23,6366614
L08032	218,00	0,00	128,00	278,00	2026,00	321,00	3,00	597,00	60,00	NEY SANTOS	3092,00	4497	3631	866	0,00	4,14	8,99	65,52	0,10	19,31	1,94	-46,8114888	-23,6426171
L08033	59,00	0,00	138,00	104,00	430,00	70,00	11,00	73,00	21,00	NEY SANTOS	777,00	1156	906	250	0,00	17,76	13,38	55,34	1,42	9,40	2,70	-46,8523818	-23,6693739
L08034	182,00	2,00	182,00	701,00	1224,00	281,00	22,00	319,00	130,00	NEY SANTOS	2580,00	4076	3043	1033	0,08	7,05	27,17	47,44	0,85	12,36	5,04	-46,8567668	-23,6535866
L08035	201,00	0,00	165,00	392,00	1321,00	256,00	161,00	250,00	57,00	NEY SANTOS	2346,00	3583	2803	780	0,00	7,03	16,71	56,31	6,86	10,66	2,43	-46,8557912	-23,6789669
L08036	20,00	0,00	22,00	19,00	172,00	26,00	1,00	94,00	11,00	NEY SANTOS	319,00	466	365	101	0,00	6,90	5,96	53,92	0,31	29,47	3,45	-46,8069720	-23,6498697
L08037	186,00	0,00	215,00	226,00	1211,00	281,00	3,00	622,00	63,00	NEY SANTOS	2340,00	3476	2807	669	0,00	9,19	9,66	51,75	0,13	26,58	2,69	-46,8076622	-23,6501591
L08038	123,00	0,00	99,00	163,00	910,00	141,00	0,00	465,00	76,00	NEY SANTOS	1713,00	2459	1977	482	0,00	5,78	9,52	53,12	0,00	27,15	4,44	-46,8008761	-23,6461516
L08039	141,00	0,00	65,00	368,00	1194,00	293,00	2,00	468,00	115,00	NEY SANTOS	2212,00	3380	2646	734	0,00	2,94	16,64	53,98	0,09	21,16	5,20	-46,8244094	-23,6293041
L08040	122,00	1,00	103,00	443,00	816,00	139,00	15,00	207,00	97,00	NEY SANTOS	1682,00	2497	1943	554	0,06	6,12	26,34	48,51	0,89	12,31	5,77	-46,8629845	-23,6598454
L08041	39,00	0,00	41,00	44,00	216,00	51,00	0,00	120,00	29,00	NEY SANTOS	450,00	664	540	124	0,00	9,11	9,78	48,00	0,00	26,67	6,44	-46,8043721	-23,6469718
L08042	113,00	0,00	147,00	219,00	840,00	171,00	2,00	357,00	55,00	NEY SANTOS	1620,00	2389	1904	485	0,00	9,07	13,52	51,85	0,12	22,04	3,40	-46,8029413	-23,6465549
L08043	107,00	0,00	53,00	600,00	700,00	160,00	2,00	319,00	23,00	NEY SANTOS	1697,00	2443	1964	479	0,00	3,12	35,36	41,25	0,12	18,80	1,36	-46,8144480	-23,6189368
L08044	77,00	0,00	33,00	94,00	735,00	111,00	1,00	213,00	15,00	NEY SANTOS	1091,00	1613	1279	334	0,00	3,02	8,62	67,37	0,09	19,52	1,37	-46,8089022	-23,6436582
L08045	110,00	0,00	72,00	197,00	836,00	153,00	74,00	148,00	39,00	NEY SANTOS	1366,00	2113	1629	484	0,00	5,27	14,42	61,20	5,42	10,83	2,86	-46,8526677	-23,6799987
L08046	124,00	0,00	189,00	273,00	1033,00	226,00	1,00	566,00	76,00	NEY SANTOS	2138,00	3013	2488	525	0,00	8,84	12,77	48,32	0,05	26,47	3,55	-46,8063115	-23,6500014
L08047	121,00	0,00	76,00	314,00	982,00	143,00	9,00	349,00	75,00	NEY SANTOS	1805,00	2724	2069	655	0,00	4,21	17,40	54,40	0,50	19,34	4,16	-46,8524294	-23,6405637
L08048	172,00	0,00	105,00	281,00	1796,00	311,00	3,00	757,00	34,00	NEY SANTOS	2976,00	4357	3459	898	0,00	3,53	9,44	60,35	0,10	25,44	1,14	-46,8192410	-23,6454460
L08049	43,00	0,00	33,00	67,00	255,00	51,00	3,00	70,00	20,00	NEY SANTOS	448,00	703	542	161	0,00	7,37	14,96	56,92	0,67	15,62	4,46	-46,8307928	-23,6381532
L09724	31,00	0,00	28,00	40,00	281,00	24,00	0,00	97,00	7,00	NEY SANTOS	453,00	712	508	204	0,00	6,18	8,83	62,03	0,00	21,41	1,55	-46,8157311	-23,6601408
L09725	11,00	1,00	10,00	24,00	115,00	15,00	0,00	78,00	7,00	NEY SANTOS	235,00	328	261	67	0,43	4,26	10,21	48,94	0,00	33,19	2,98	-46,8001166	-23,6474836
L09726	245,00	0,00	969,00	287,00	1396,00	342,00	1,00	385,00	72,00	NEY SANTOS	3110,00	4654	3697	957	0,00	31,16	9,23	44,89	0,03	12,38	2,32	-46,8038130	-23,6799130
L09727	145,00	3,00	882,00	246,00	722,00	294,00	0,00	304,00	49,00	DRA BETE	2206,00	3338	2645	693	0,14	39,98	11,15	32,73	0,00	13,78	2,22	-46,8034731	-23,6740895
L09728	208,00	1,00	263,00	509,00	1757,00	359,00	1,00	744,00	59,00	NEY SANTOS	3334,00	5004	3901	1103	0,03	7,89	15,27	52,70	0,03	22,32	1,77	-46,8150508	-23,6560005
