cod_local	Branco	CLAUDIO DONIZETE	DR LEANDRO ALTRÃO	LOURDES DA CHAPA COLETIVA	LUIZ MARINHO	Nulo	ORLANDO MORANDO	RAFAEL DEMARCHI	vencedor	v_valid	e_apto	e_comp	e_abst	CLAUDIO DONIZETE_%	DR LEANDRO ALTRÃO_%	LOURDES DA CHAPA COLETIVA_%	LUIZ MARINHO_%	ORLANDO MORANDO_%	RAFAEL DEMARCHI_%	longitude	latitude
L03949	23,00	0,00	11,00	4,00	37,00	19,00	294,00	23,00	ORLANDO MORANDO	369,00	524	411	113	0,00	2,98	1,08	10,03	79,67	6,23	-46,5415630	-23,7144040
L03950	119,00	3,00	62,00	74,00	310,00	235,00	2096,00	184,00	ORLANDO MORANDO	2729,00	4433	3083	1350	0,11	2,27	2,71	11,36	76,80	6,74	-46,5496537	-23,7094670
L03951	119,00	3,00	80,00	103,00	301,00	266,00	1926,00	136,00	ORLANDO MORANDO	2549,00	3975	2934	1041	0,12	3,14	4,04	11,81	75,56	5,34	-46,5496940	-23,7063970
L03952	54,00	4,00	35,00	34,00	163,00	119,00	1098,00	99,00	ORLANDO MORANDO	1433,00	2247	1606	641	0,28	2,44	2,37	11,37	76,62	6,91	-46,5484150	-23,7127260
L03953	6,00	2,00	14,00	3,00	31,00	21,00	153,00	13,00	ORLANDO MORANDO	216,00	314	243	71	0,93	6,48	1,39	14,35	70,83	6,02	-46,5500645	-23,7171301
L03954	98,00	2,00	37,00	7,00	710,00	258,00	1138,00	80,00	ORLANDO MORANDO	1974,00	3226	2330	896	0,10	1,87	0,35	35,97	57,65	4,05	-46,5351573	-23,7328634
L03955	150,00	3,00	75,00	100,00	536,00	387,00	2802,00	251,00	ORLANDO MORANDO	3767,00	6126	4304	1822	0,08	1,99	2,65	14,23	74,38	6,66	-46,5479655	-23,7159646
L03956	53,00	0,00	31,00	38,00	164,00	152,00	1190,00	112,00	ORLANDO MORANDO	1535,00	2513	1740	773	0,00	2,02	2,48	10,68	77,52	7,30	-46,5568820	-23,7075360
L03957	66,00	1,00	35,00	19,00	315,00	157,00	1234,00	94,00	ORLANDO MORANDO	1698,00	2975	1921	1054	0,06	2,06	1,12	18,55	72,67	5,54	-46,5506560	-23,7109210
L03958	160,00	2,00	49,00	17,00	793,00	284,00	1743,00	67,00	ORLANDO MORANDO	2671,00	4362	3115	1247	0,07	1,83	0,64	29,69	65,26	2,51	-46,5263510	-23,7177830
L03959	168,00	3,00	39,00	24,00	776,00	318,00	1716,00	129,00	ORLANDO MORANDO	2687,00	4034	3173	861	0,11	1,45	0,89	28,88	63,86	4,80	-46,5273920	-23,7411880
L03960	145,00	4,00	52,00	31,00	870,00	333,00	2123,00	111,00	ORLANDO MORANDO	3191,00	4736	3669	1067	0,13	1,63	0,97	27,26	66,53	3,48	-46,5340573	-23,7247585
L03961	97,00	1,00	24,00	3,00	597,00	200,00	692,00	62,00	ORLANDO MORANDO	1379,00	2089	1676	413	0,07	1,74	0,22	43,29	50,18	4,50	-46,5301100	-23,7544160
L03962	209,00	4,00	51,00	23,00	1263,00	378,00	1782,00	118,00	ORLANDO MORANDO	3241,00	4967	3828	1139	0,12	1,57	0,71	38,97	54,98	3,64	-46,5312069	-23,7383016
L03963	121,00	3,00	36,00	40,00	535,00	240,00	1528,00	84,00	ORLANDO MORANDO	2226,00	3508	2587	921	0,13	1,62	1,80	24,03	68,64	3,77	-46,5330960	-23,7239800
L03964	98,00	9,00	42,00	14,00	901,00	274,00	1556,00	95,00	ORLANDO MORANDO	2617,00	4071	2989	1082	0,34	1,60	0,53	34,43	59,46	3,63	-46,5424960	-23,7270120
L03965	101,00	9,00	42,00	17,00	749,00	228,00	1786,00	100,00	ORLANDO MORANDO	2703,00	4365	3032	1333	0,33	1,55	0,63	27,71	66,07	3,70	-46,5394877	-23,7234957
L03966	115,00	2,00	56,00	11,00	824,00	279,00	1545,00	86,00	ORLANDO MORANDO	2524,00	3744	2918	826	0,08	2,22	0,44	32,65	61,21	3,41	-46,5239690	-23,7253840
