cod_local	BALTASAR ROSA	Branco	CAPITÃO ATALIBA	JULIO LEAL	MARI TAVELLI	Nulo	PROFESSOR BALDE	REINALDO MONTEIRO	RUBENS FURLAN	vencedor	v_valid	e_apto	e_comp	e_abst	BALTASAR ROSA_%	CAPITÃO ATALIBA_%	JULIO LEAL_%	MARI TAVELLI_%	PROFESSOR BALDE_%	REINALDO MONTEIRO_%	RUBENS FURLAN_%	longitude	latitude
L04568	58	123	38	41	69	261	17	30	2083	RUBENS FURLAN	2336	3560	2720	840	2,48	1,63	1,76	2,95	0,73	1,28	89,17	-46,8879189	-23,5375247
L04569	90	201	53	105	229	358	36	68	3592	RUBENS FURLAN	4173	6218	4732	1486	2,16	1,27	2,52	5,49	0,86	1,63	86,08	-46,8926931	-23,5289601
L04570	128	281	79	153	193	444	54	72	3763	RUBENS FURLAN	4442	7167	5167	2000	2,88	1,78	3,44	4,34	1,22	1,62	84,71	-46,8898401	-23,5283043
L04571	55	130	15	64	109	158	28	35	1774	RUBENS FURLAN	2080	3102	2368	734	2,64	0,72	3,08	5,24	1,35	1,68	85,29	-46,8946145	-23,5149500
L04572	135	213	57	163	206	409	46	90	3777	RUBENS FURLAN	4474	6794	5096	1698	3,02	1,27	3,64	4,60	1,03	2,01	84,42	-46,8875490	-23,5289050
L04573	70	144	31	65	97	260	14	39	2550	RUBENS FURLAN	2866	4233	3270	963	2,44	1,08	2,27	3,38	0,49	1,36	88,97	-46,8915906	-23,5390657
L04574	101	221	59	108	172	375	34	76	3261	RUBENS FURLAN	3811	5596	4407	1189	2,65	1,55	2,83	4,51	0,89	1,99	85,57	-46,8848312	-23,5340513
L04575	138	310	78	104	405	466	79	85	4255	RUBENS FURLAN	5144	8008	5920	2088	2,68	1,52	2,02	7,87	1,54	1,65	82,72	-46,8862413	-23,5089091
L04576	101	149	57	69	218	259	57	62	2243	RUBENS FURLAN	2807	4610	3215	1395	3,60	2,03	2,46	7,77	2,03	2,21	79,91	-46,8755435	-23,5084374
L04577	106	161	13	110	158	217	36	54	2630	RUBENS FURLAN	3107	4544	3485	1059	3,41	0,42	3,54	5,09	1,16	1,74	84,65	-46,8972559	-23,5157201
L04578	102	282	54	82	217	397	50	96	4196	RUBENS FURLAN	4797	7202	5476	1726	2,13	1,13	1,71	4,52	1,04	2,00	87,47	-46,8710366	-23,5471768
L04579	80	174	46	60	143	307	39	40	2519	RUBENS FURLAN	2927	4362	3408	954	2,73	1,57	2,05	4,89	1,33	1,37	86,06	-46,8830789	-23,5438310
L04580	74	152	32	54	106	232	25	55	1992	RUBENS FURLAN	2338	3503	2722	781	3,17	1,37	2,31	4,53	1,07	2,35	85,20	-46,8809000	-23,5441480
L04581	48	106	18	27	71	151	22	44	1664	RUBENS FURLAN	1894	2811	2151	660	2,53	0,95	1,43	3,75	1,16	2,32	87,86	-46,8788133	-23,5315238
L04582	61	163	25	53	125	267	26	34	2618	RUBENS FURLAN	2942	4438	3372	1066	2,07	0,85	1,80	4,25	0,88	1,16	88,99	-46,8913017	-23,5310569
L04583	43	156	26	48	126	230	33	59	2335	RUBENS FURLAN	2670	3972	3056	916	1,61	0,97	1,80	4,72	1,24	2,21	87,45	-46,8659509	-23,5386269
L04584	59	118	31	42	83	192	17	19	1827	RUBENS FURLAN	2078	3060	2388	672	2,84	1,49	2,02	3,99	0,82	0,91	87,92	-46,8855930	-23,5359533
L04585	152	129	33	92	128	228	28	69	2345	RUBENS FURLAN	2847	4144	3204	940	5,34	1,16	3,23	4,50	0,98	2,42	82,37	-46,8927609	-23,5085199
L04586	74	173	54	62	147	266	21	33	2556	RUBENS FURLAN	2947	4319	3386	933	2,51	1,83	2,10	4,99	0,71	1,12	86,73	-46,8824037	-23,5444619
