cod_local	Branco	DJALMA ALMEIDA	DOUTOR NAKANO	JONES DONIZETTE	JORGE COSTA	KÁTIA TRINDADE	Nulo	PROF ERLON CHAVES	PROF PAULINHO	PROFESSOR ELIAS	PROFESSOR JONAS FEIJÓ	vencedor	v_valid	e_apto	e_comp	e_abst	DJALMA ALMEIDA_%	DOUTOR NAKANO_%	JONES DONIZETTE_%	JORGE COSTA_%	KÁTIA TRINDADE_%	PROF ERLON CHAVES_%	PROF PAULINHO_%	PROFESSOR ELIAS_%	PROFESSOR JONAS FEIJÓ_%	longitude	latitude
L04610	114,00	10,00	713,00	247,00	331,00	30,00	141,00	23,00	58,00	58,00	24,00	DOUTOR NAKANO	1494,00	2249	1749	500	0,67	47,72	16,53	22,16	2,01	1,54	3,88	3,88	1,61	-46,8534028	-23,7091061
L04611	92,00	1,00	478,00	61,00	224,00	18,00	135,00	8,00	9,00	94,00	124,00	DOUTOR NAKANO	1017,00	1508	1244	264	0,10	47,00	6,00	22,03	1,77	0,79	0,88	9,24	12,19	-46,8119661	-23,7562942
L04614	60,00	2,00	341,00	42,00	99,00	18,00	67,00	3,00	44,00	15,00	1,00	DOUTOR NAKANO	565,00	925	692	233	0,35	60,35	7,43	17,52	3,19	0,53	7,79	2,65	0,18	-46,7989518	-23,7471167
L04616	189,00	11,00	1774,00	138,00	460,00	44,00	313,00	9,00	297,00	67,00	23,00	DOUTOR NAKANO	2823,00	4217	3325	892	0,39	62,84	4,89	16,29	1,56	0,32	10,52	2,37	0,81	-46,7952218	-23,7436568
L04617	68,00	16,00	704,00	176,00	398,00	22,00	135,00	13,00	44,00	74,00	19,00	DOUTOR NAKANO	1466,00	2300	1669	631	1,09	48,02	12,01	27,15	1,50	0,89	3,00	5,05	1,30	-46,8586658	-23,7213920
L04618	103,00	5,00	806,00	190,00	282,00	25,00	130,00	6,00	21,00	26,00	11,00	DOUTOR NAKANO	1372,00	2102	1605	497	0,36	58,75	13,85	20,55	1,82	0,44	1,53	1,90	0,80	-46,8228443	-23,6878288
L04619	74,00	10,00	569,00	268,00	334,00	22,00	119,00	16,00	67,00	42,00	4,00	DOUTOR NAKANO	1332,00	1908	1525	383	0,75	42,72	20,12	25,08	1,65	1,20	5,03	3,15	0,30	-46,8578633	-23,7321145
L04620	129,00	29,00	1117,00	426,00	580,00	79,00	183,00	29,00	82,00	126,00	46,00	DOUTOR NAKANO	2514,00	3712	2826	886	1,15	44,43	16,95	23,07	3,14	1,15	3,26	5,01	1,83	-46,8547119	-23,7202893
L04621	133,00	3,00	973,00	119,00	242,00	31,00	175,00	2,00	110,00	33,00	6,00	DOUTOR NAKANO	1519,00	2313	1827	486	0,20	64,06	7,83	15,93	2,04	0,13	7,24	2,17	0,39	-46,8070765	-23,7455270
L04622	133,00	0,00	712,00	64,00	449,00	15,00	199,00	8,00	70,00	49,00	163,00	DOUTOR NAKANO	1530,00	2432	1862	570	0,00	46,54	4,18	29,35	0,98	0,52	4,58	3,20	10,65	-46,8000960	-23,7578040
L04625	76,00	17,00	834,00	155,00	508,00	50,00	131,00	17,00	46,00	52,00	45,00	DOUTOR NAKANO	1724,00	2859	1931	928	0,99	48,38	8,99	29,47	2,90	0,99	2,67	3,02	2,61	-46,8508547	-23,7154916
L04626	68,00	3,00	421,00	88,00	376,00	14,00	91,00	24,00	6,00	24,00	4,00	DOUTOR NAKANO	960,00	1472	1119	353	0,31	43,85	9,17	39,17	1,46	2,50	0,62	2,50	0,42	-46,8014085	-23,6920591
L04627	96,00	22,00	873,00	256,00	471,00	27,00	136,00	23,00	71,00	77,00	31,00	DOUTOR NAKANO	1851,00	2914	2083	831	1,19	47,16	13,83	25,45	1,46	1,24	3,84	4,16	1,67	-46,8590442	-23,7237698
L04628	143,00	3,00	746,00	539,00	330,00	53,00	222,00	37,00	64,00	52,00	31,00	DOUTOR NAKANO	1855,00	2974	2220	754	0,16	40,22	29,06	17,79	2,86	1,99	3,45	2,80	1,67	-46,8587169	-23,6878961
L04629	0,00	0,00	2,00	0,00	1,00	0,00	0,00	0,00	0,00	11,00	0,00	PROFESSOR ELIAS	14,00	25	14	11	0,00	14,29	0,00	7,14	0,00	0,00	0,00	78,57	0,00	-46,8897135	-23,7190662
L04631	97,00	6,00	759,00	122,00	549,00	37,00	155,00	5,00	45,00	37,00	16,00	DOUTOR NAKANO	1576,00	2423	1828	595	0,38	48,16	7,74	34,84	2,35	0,32	2,86	2,35	1,02	-46,8419788	-23,7596202
L04632	96,00	3,00	489,00	232,00	253,00	22,00	142,00	20,00	37,00	27,00	22,00	DOUTOR NAKANO	1105,00	1852	1343	509	0,27	44,25	21,00	22,90	1,99	1,81	3,35	2,44	1,99	-46,8525640	-23,6908620
L04633	65,00	0,00	221,00	103,00	139,00	5,00	95,00	6,00	7,00	30,00	57,00	DOUTOR NAKANO	568,00	893	728	165	0,00	38,91	18,13	24,47	0,88	1,06	1,23	5,28	10,04	-46,8074921	-23,7607003
L04634	49,00	5,00	302,00	169,00	120,00	16,00	69,00	12,00	38,00	37,00	5,00	DOUTOR NAKANO	704,00	1160	822	338	0,71	42,90	24,01	17,05	2,27	1,70	5,40	5,26	0,71	-46,8589031	-23,7071864
L04635	98,00	5,00	670,00	336,00	256,00	30,00	171,00	33,00	93,00	122,00	16,00	DOUTOR NAKANO	1561,00	2290	1830	460	0,32	42,92	21,52	16,40	1,92	2,11	5,96	7,82	1,02	-46,8550044	-23,7009367
L04636	11,00	4,00	30,00	24,00	55,00	3,00	18,00	5,00	12,00	8,00	4,00	JORGE COSTA	145,00	243	174	69	2,76	20,69	16,55	37,93	2,07	3,45	8,28	5,52	2,76	-46,8506067	-23,7033114
L04638	234,00	6,00	1109,00	268,00	1154,00	51,00	330,00	31,00	33,00	74,00	29,00	JORGE COSTA	2755,00	4477	3319	1158	0,22	40,25	9,73	41,89	1,85	1,13	1,20	2,69	1,05	-46,8016988	-23,6985698
L04639	70,00	0,00	337,00	30,00	250,00	21,00	135,00	1,00	12,00	71,00	6,00	DOUTOR NAKANO	728,00	1183	933	250	0,00	46,29	4,12	34,34	2,88	0,14	1,65	9,75	0,82	-46,7829491	-23,7527373
L04640	75,00	7,00	544,00	150,00	306,00	70,00	123,00	14,00	45,00	57,00	28,00	DOUTOR NAKANO	1221,00	1949	1419	530	0,57	44,55	12,29	25,06	5,73	1,15	3,69	4,67	2,29	-46,8503585	-23,7143676
L04641	176,00	4,00	734,00	339,00	847,00	21,00	266,00	20,00	9,00	29,00	19,00	JORGE COSTA	2022,00	3094	2464	630	0,20	36,30	16,77	41,89	1,04	0,99	0,45	1,43	0,94	-46,7937549	-23,7031238
L04642	62,00	2,00	133,00	43,00	91,00	8,00	58,00	1,00	8,00	5,00	12,00	DOUTOR NAKANO	303,00	532	423	109	0,66	43,89	14,19	30,03	2,64	0,33	2,64	1,65	3,96	-46,8834207	-23,6854803
L04643	79,00	3,00	516,00	175,00	377,00	15,00	99,00	0,00	61,00	13,00	40,00	DOUTOR NAKANO	1200,00	1756	1378	378	0,25	43,00	14,58	31,42	1,25	0,00	5,08	1,08	3,33	-46,7988288	-23,7235285
L04644	109,00	8,00	1095,00	257,00	488,00	23,00	190,00	23,00	21,00	35,00	17,00	DOUTOR NAKANO	1967,00	2866	2266	600	0,41	55,67	13,07	24,81	1,17	1,17	1,07	1,78	0,86	-46,8237570	-23,6897118
L04645	95,00	5,00	518,00	67,00	189,00	14,00	113,00	1,00	41,00	36,00	13,00	DOUTOR NAKANO	884,00	1440	1092	348	0,57	58,60	7,58	21,38	1,58	0,11	4,64	4,07	1,47	-46,7888618	-23,7494159
L04646	166,00	13,00	1303,00	102,00	405,00	31,00	278,00	9,00	174,00	68,00	25,00	DOUTOR NAKANO	2130,00	3502	2574	928	0,61	61,17	4,79	19,01	1,46	0,42	8,17	3,19	1,17	-46,7970743	-23,7468583
L04647	144,00	11,00	1176,00	120,00	243,00	22,00	183,00	5,00	192,00	29,00	12,00	DOUTOR NAKANO	1810,00	2864	2137	727	0,61	64,97	6,63	13,43	1,22	0,28	10,61	1,60	0,66	-46,8012440	-23,7468614
L04648	50,00	3,00	444,00	114,00	137,00	35,00	95,00	13,00	32,00	43,00	15,00	DOUTOR NAKANO	836,00	1291	981	310	0,36	53,11	13,64	16,39	4,19	1,56	3,83	5,14	1,79	-46,8506813	-23,7124462
L04649	135,00	26,00	1160,00	219,00	713,00	43,00	195,00	15,00	82,00	60,00	49,00	DOUTOR NAKANO	2367,00	3779	2697	1082	1,10	49,01	9,25	30,12	1,82	0,63	3,46	2,53	2,07	-46,8518124	-23,7150458
L04650	175,00	18,00	1049,00	490,00	532,00	50,00	234,00	74,00	193,00	149,00	28,00	DOUTOR NAKANO	2583,00	3871	2992	879	0,70	40,61	18,97	20,60	1,94	2,86	7,47	5,77	1,08	-46,8580070	-23,7075995
L04652	77,00	12,00	446,00	376,00	237,00	16,00	86,00	25,00	58,00	97,00	10,00	DOUTOR NAKANO	1277,00	2031	1440	591	0,94	34,93	29,44	18,56	1,25	1,96	4,54	7,60	0,78	-46,8630701	-23,7062145
L04653	60,00	3,00	476,00	271,00	331,00	33,00	64,00	9,00	43,00	41,00	2,00	DOUTOR NAKANO	1209,00	1693	1333	360	0,25	39,37	22,42	27,38	2,73	0,74	3,56	3,39	0,17	-46,8671839	-23,7191251
L04654	263,00	15,00	1452,00	175,00	993,00	29,00	453,00	8,00	78,00	159,00	346,00	DOUTOR NAKANO	3255,00	5198	3971	1227	0,46	44,61	5,38	30,51	0,89	0,25	2,40	4,88	10,63	-46,8068164	-23,7567823
