cod_local	ARQUITETO DAVID	Branco	DENISE VENTRICI	DR AIRTON	DR RICARDO YOSHIO	FILIPPI	GESIEL DUARTE	JHONNY RICH	MARCOS MICHELS	Nulo	PROFESSOR IVANCI	RAFAELA BOANI	REVELINO ALMEIDA - PRETINHO	RONALDO LACERDA	TAKA YAMAUCHI	vencedor	v_valid	e_apto	e_comp	e_abst	ARQUITETO DAVID_%	DENISE VENTRICI_%	DR AIRTON_%	DR RICARDO YOSHIO_%	FILIPPI_%	GESIEL DUARTE_%	JHONNY RICH_%	MARCOS MICHELS_%	PROFESSOR IVANCI_%	RAFAELA BOANI_%	REVELINO ALMEIDA - PRETINHO_%	RONALDO LACERDA_%	TAKA YAMAUCHI_%	longitude	latitude
L05108	5,00	166,00	26,00	10,00	247,00	678,00	58,00	16,00	58,00	260,00	6,00	77,00	166,00	38,00	399,00	FILIPPI	1784,00	3159	2210	949	0,28	1,46	0,56	13,85	38,00	3,25	0,90	3,25	0,34	4,32	9,30	2,13	22,37	-46,6249685	-23,6846490
L05109	15,00	150,00	46,00	2,00	259,00	811,00	57,00	12,00	55,00	250,00	3,00	16,00	155,00	92,00	457,00	FILIPPI	1980,00	3198	2380	818	0,76	2,32	0,10	13,08	40,96	2,88	0,61	2,78	0,15	0,81	7,83	4,65	23,08	-46,6159230	-23,6925061
L05110	8,00	253,00	27,00	7,00	457,00	1036,00	103,00	16,00	84,00	408,00	5,00	44,00	278,00	89,00	746,00	FILIPPI	2900,00	5128	3561	1567	0,28	0,93	0,24	15,76	35,72	3,55	0,55	2,90	0,17	1,52	9,59	3,07	25,72	-46,6216249	-23,6799417
L05111	54,00	331,00	68,00	18,00	645,00	1595,00	119,00	31,00	149,00	597,00	10,00	65,00	410,00	86,00	1070,00	FILIPPI	4320,00	7677	5248	2429	1,25	1,57	0,42	14,93	36,92	2,75	0,72	3,45	0,23	1,50	9,49	1,99	24,77	-46,6243109	-23,6933561
L05112	46,00	404,00	42,00	6,00	368,00	1307,00	113,00	23,00	111,00	550,00	6,00	46,00	417,00	73,00	704,00	FILIPPI	3262,00	5865	4216	1649	1,41	1,29	0,18	11,28	40,07	3,46	0,71	3,40	0,18	1,41	12,78	2,24	21,58	-46,6333447	-23,6904292
L05113	81,00	201,00	65,00	6,00	356,00	1400,00	85,00	17,00	88,00	359,00	5,00	34,00	255,00	93,00	751,00	FILIPPI	3236,00	5000	3796	1204	2,50	2,01	0,19	11,00	43,26	2,63	0,53	2,72	0,15	1,05	7,88	2,87	23,21	-46,6227770	-23,6985469
L05114	5,00	111,00	25,00	5,00	151,00	669,00	61,00	8,00	30,00	166,00	1,00	16,00	218,00	63,00	228,00	FILIPPI	1480,00	2355	1757	598	0,34	1,69	0,34	10,20	45,20	4,12	0,54	2,03	0,07	1,08	14,73	4,26	15,41	-46,6116582	-23,6828454
L05115	41,00	268,00	46,00	4,00	496,00	1341,00	88,00	15,00	64,00	448,00	10,00	38,00	256,00	124,00	614,00	FILIPPI	3137,00	5217	3853	1364	1,31	1,47	0,13	15,81	42,75	2,81	0,48	2,04	0,32	1,21	8,16	3,95	19,57	-46,6168838	-23,6960228
L05116	43,00	244,00	82,00	4,00	670,00	1413,00	64,00	25,00	85,00	408,00	4,00	23,00	262,00	143,00	652,00	FILIPPI	3470,00	5626	4122	1504	1,24	2,36	0,12	19,31	40,72	1,84	0,72	2,45	0,12	0,66	7,55	4,12	18,79	-46,6171290	-23,6962645
L05117	8,00	78,00	7,00	0,00	82,00	222,00	23,00	4,00	29,00	109,00	0,00	21,00	57,00	9,00	142,00	FILIPPI	604,00	1058	791	267	1,32	1,16	0,00	13,58	36,75	3,81	0,66	4,80	0,00	3,48	9,44	1,49	23,51	-46,6311282	-23,6837562
