cod_local	AILTON LIMA	ALEX ARRAIS	BRUNO DANIEL	Branco	JOÃO AVAMILENO	Nulo	PAULO SERRA	POLICIAL FEDERAL DENNIS FERRAO	PROFESSORA BETE SIRAQUE	SARGENTO LOBO	SIMONE CRISTINA SOUZA	vencedor	v_valid	e_apto	e_comp	e_abst	AILTON LIMA_%	ALEX ARRAIS_%	BRUNO DANIEL_%	JOÃO AVAMILENO_%	PAULO SERRA_%	POLICIAL FEDERAL DENNIS FERRAO_%	PROFESSORA BETE SIRAQUE_%	SARGENTO LOBO_%	SIMONE CRISTINA SOUZA_%	longitude	latitude
L03684	145,00	2,00	144,00	179,00	10,00	323,00	2012,00	26,00	250,00	38,00	3,00	PAULO SERRA	2630,00	4663	3132	1531	5,51	0,08	5,48	0,38	76,50	0,99	9,51	1,44	0,11	-46,5472926	-23,6613284
L03685	31,00	2,00	195,00	44,00	6,00	107,00	1211,00	31,00	65,00	27,00	3,00	PAULO SERRA	1571,00	2446	1722	724	1,97	0,13	12,41	0,38	77,08	1,97	4,14	1,72	0,19	-46,5292770	-23,6590789
L03686	69,00	0,00	225,00	69,00	12,00	163,00	1449,00	33,00	59,00	35,00	1,00	PAULO SERRA	1883,00	2962	2115	847	3,66	0,00	11,95	0,64	76,95	1,75	3,13	1,86	0,05	-46,5240382	-23,6623668
L03687	110,00	2,00	115,00	83,00	2,00	202,00	956,00	13,00	132,00	17,00	0,00	PAULO SERRA	1347,00	2113	1632	481	8,17	0,15	8,54	0,15	70,97	0,97	9,80	1,26	0,00	-46,5245513	-23,6976196
L03688	92,00	9,00	284,00	88,00	6,00	177,00	1791,00	46,00	141,00	56,00	1,00	PAULO SERRA	2426,00	4436	2691	1745	3,79	0,37	11,71	0,25	73,83	1,90	5,81	2,31	0,04	-46,5308269	-23,6555940
L03689	195,00	7,00	444,00	214,00	13,00	483,00	3856,00	90,00	222,00	113,00	4,00	PAULO SERRA	4944,00	8875	5641	3234	3,94	0,14	8,98	0,26	77,99	1,82	4,49	2,29	0,08	-46,5269000	-23,6727000
L03690	96,00	4,00	205,00	153,00	18,00	395,00	2224,00	37,00	248,00	33,00	3,00	PAULO SERRA	2868,00	4922	3416	1506	3,35	0,14	7,15	0,63	77,55	1,29	8,65	1,15	0,10	-46,5349000	-23,6759000
L03691	322,00	28,00	300,00	312,00	6,00	611,00	3613,00	54,00	463,00	92,00	3,00	PAULO SERRA	4881,00	8306	5804	2502	6,60	0,57	6,15	0,12	74,02	1,11	9,49	1,88	0,06	-46,5232962	-23,6903498
L03692	174,00	11,00	207,00	120,00	19,00	423,00	2769,00	47,00	225,00	61,00	3,00	PAULO SERRA	3516,00	6183	4059	2124	4,95	0,31	5,89	0,54	78,75	1,34	6,40	1,73	0,09	-46,5166000	-23,6822000
L03693	136,00	6,00	129,00	137,00	2,00	269,00	1669,00	24,00	212,00	28,00	3,00	PAULO SERRA	2209,00	3900	2615	1285	6,16	0,27	5,84	0,09	75,55	1,09	9,60	1,27	0,14	-46,5251174	-23,6862552
L03694	129,00	13,00	130,00	133,00	4,00	302,00	1743,00	23,00	240,00	33,00	0,00	PAULO SERRA	2315,00	4037	2750	1287	5,57	0,56	5,62	0,17	75,29	0,99	10,37	1,43	0,00	-46,5264000	-23,6911000
L03695	71,00	0,00	91,00	67,00	0,00	207,00	759,00	12,00	196,00	20,00	1,00	PAULO SERRA	1150,00	1844	1424	420	6,17	0,00	7,91	0,00	66,00	1,04	17,04	1,74	0,09	-46,5313544	-23,6980846
L03696	75,00	4,00	263,00	91,00	4,00	233,00	2412,00	46,00	85,00	64,00	3,00	PAULO SERRA	2956,00	4696	3280	1416	2,54	0,14	8,90	0,14	81,60	1,56	2,88	2,17	0,10	-46,5383930	-23,6678199
L03697	88,00	3,00	190,00	83,00	6,00	246,00	1649,00	35,00	104,00	32,00	0,00	PAULO SERRA	2107,00	3538	2436	1102	4,18	0,14	9,02	0,28	78,26	1,66	4,94	1,52	0,00	-46,5192583	-23,6775461
L03698	102,00	2,00	194,00	61,00	11,00	174,00	1575,00	62,00	90,00	38,00	1,00	PAULO SERRA	2075,00	3804	2310	1494	4,92	0,10	9,35	0,53	75,90	2,99	4,34	1,83	0,05	-46,5188129	-23,6615529
L03699	179,00	8,00	148,00	170,00	6,00	275,00	1776,00	29,00	202,00	55,00	1,00	PAULO SERRA	2404,00	4273	2849	1424	7,45	0,33	6,16	0,25	73,88	1,21	8,40	2,29	0,04	-46,5165000	-23,6898000
L03700	104,00	4,00	346,00	131,00	6,00	319,00	2282,00	69,00	134,00	55,00	1,00	PAULO SERRA	3001,00	4744	3451	1293	3,47	0,13	11,53	0,20	76,04	2,30	4,47	1,83	0,03	-46,5251147	-23,6739179
L03701	78,00	0,00	64,00	73,00	2,00	149,00	973,00	9,00	106,00	15,00	1,00	PAULO SERRA	1248,00	1941	1470	471	6,25	0,00	5,13	0,16	77,96	0,72	8,49	1,20	0,08	-46,5265560	-23,6846650
L03702	121,00	7,00	414,00	131,00	20,00	349,00	3408,00	69,00	144,00	65,00	7,00	PAULO SERRA	4255,00	6875	4735	2140	2,84	0,16	9,73	0,47	80,09	1,62	3,38	1,53	0,16	-46,5364163	-23,6615619
L03703	133,00	14,00	186,00	101,00	4,00	239,00	1332,00	20,00	146,00	22,00	4,00	PAULO SERRA	1861,00	2927	2201	726	7,15	0,75	9,99	0,21	71,57	1,07	7,85	1,18	0,21	-46,5221959	-23,6903517
