cod_local	Branco	CARLOS NASCIMENTO	IGOR SOARES	Nulo	PROFESSOR SILVIO MARCIO	vencedor	v_valid	e_apto	e_comp	e_abst	CARLOS NASCIMENTO_%	IGOR SOARES_%	PROFESSOR SILVIO MARCIO_%	longitude	latitude
L08584	84,00	42,00	2981,00	163,00	20,00	IGOR SOARES	3043,00	4176	3290	886	1,38	97,96	0,66	-46,9481392	-23,5543819
L08585	5,00	1,00	114,00	4,00	0,00	IGOR SOARES	115,00	164	124	40	0,87	99,13	0,00	-46,9174294	-23,5410053
L08586	38,00	19,00	1477,00	85,00	15,00	IGOR SOARES	1511,00	2150	1634	516	1,26	97,75	0,99	-47,0274860	-23,5972420
L08587	9,00	0,00	302,00	16,00	4,00	IGOR SOARES	306,00	444	331	113	0,00	98,69	1,31	-46,9415334	-23,5558397
L08588	24,00	11,00	850,00	43,00	10,00	IGOR SOARES	871,00	1235	938	297	1,26	97,59	1,15	-46,9298289	-23,5498841
L08589	88,00	18,00	3031,00	175,00	35,00	IGOR SOARES	3084,00	4305	3347	958	0,58	98,28	1,13	-46,9197900	-23,5392699
L08590	35,00	7,00	1140,00	44,00	14,00	IGOR SOARES	1161,00	1582	1240	342	0,60	98,19	1,21	-46,9444800	-23,5416269
L08591	6,00	2,00	329,00	9,00	1,00	IGOR SOARES	332,00	430	347	83	0,60	99,10	0,30	-46,9541759	-23,5505539
L08593	43,00	6,00	1815,00	98,00	29,00	IGOR SOARES	1850,00	2600	1991	609	0,32	98,11	1,57	-46,9262107	-23,5314577
L08594	102,00	10,00	2791,00	147,00	22,00	IGOR SOARES	2823,00	3953	3072	881	0,35	98,87	0,78	-46,9823981	-23,5329721
L08595	37,00	10,00	1009,00	47,00	1,00	IGOR SOARES	1020,00	1439	1104	335	0,98	98,92	0,10	-46,9623047	-23,5524922
L08597	48,00	4,00	1672,00	97,00	11,00	IGOR SOARES	1687,00	2301	1832	469	0,24	99,11	0,65	-46,9396490	-23,5622653
L08598	7,00	6,00	589,00	23,00	12,00	IGOR SOARES	607,00	798	637	161	0,99	97,03	1,98	-46,9288337	-23,5407262
L08599	70,00	17,00	1849,00	119,00	6,00	IGOR SOARES	1872,00	2683	2061	622	0,91	98,77	0,32	-46,9087572	-23,5550031
L08600	48,00	16,00	1525,00	99,00	19,00	IGOR SOARES	1560,00	2235	1707	528	1,03	97,76	1,22	-46,9267145	-23,5353030
L08601	19,00	1,00	213,00	27,00	6,00	IGOR SOARES	220,00	338	266	72	0,45	96,82	2,73	-46,9653887	-23,5972391
L08602	37,00	11,00	1242,00	70,00	16,00	IGOR SOARES	1269,00	1891	1376	515	0,87	97,87	1,26	-46,9240947	-23,5383987
L08603	15,00	5,00	765,00	30,00	5,00	IGOR SOARES	775,00	1028	820	208	0,65	98,71	0,65	-46,9276300	-23,5552051
L08604	6,00	4,00	262,00	15,00	3,00	IGOR SOARES	269,00	365	290	75	1,49	97,40	1,12	-46,9513311	-23,5431006
L08605	8,00	1,00	246,00	14,00	1,00	IGOR SOARES	248,00	353	270	83	0,40	99,19	0,40	-46,9312500	-23,5544030
L08606	57,00	20,00	2369,00	104,00	19,00	IGOR SOARES	2408,00	3253	2569	684	0,83	98,38	0,79	-46,9511780	-23,5455070
L08607	12,00	5,00	404,00	21,00	10,00	IGOR SOARES	419,00	543	452	91	1,19	96,42	2,39	-46,9551748	-23,5685992
L08608	43,00	16,00	1769,00	110,00	13,00	IGOR SOARES	1798,00	2618	1951	667	0,89	98,39	0,72	-46,9361861	-23,5537696
L08609	0,00	2,00	104,00	5,00	0,00	IGOR SOARES	106,00	133	111	22	1,89	98,11	0,00	-46,9688739	-23,5380788
L08610	36,00	5,00	588,00	69,00	21,00	IGOR SOARES	614,00	923	719	204	0,81	95,77	3,42	-46,9848796	-23,5766993
L08611	18,00	9,00	858,00	46,00	12,00	IGOR SOARES	879,00	1227	943	284	1,02	97,61	1,37	-46,9698786	-23,5459375
L08612	71,00	25,00	2731,00	187,00	8,00	IGOR SOARES	2764,00	4028	3022	1006	0,90	98,81	0,29	-46,9500908	-23,5479319
L08613	55,00	16,00	1467,00	113,00	20,00	IGOR SOARES	1503,00	2428	1671	757	1,06	97,60	1,33	-46,9815069	-23,5344783
L08614	113,00	61,00	3657,00	248,00	47,00	IGOR SOARES	3765,00	5350	4126	1224	1,62	97,13	1,25	-46,9391330	-23,5373299
L08615	131,00	58,00	3438,00	305,00	48,00	IGOR SOARES	3544,00	5647	3980	1667	1,64	97,01	1,35	-46,9329281	-23,5464894
L08616	55,00	15,00	2046,00	112,00	25,00	IGOR SOARES	2086,00	2874	2253	621	0,72	98,08	1,20	-46,9799031	-23,5409774
L08617	53,00	5,00	1681,00	74,00	5,00	IGOR SOARES	1691,00	2451	1818	633	0,30	99,41	0,30	-46,9810860	-23,5310110
L08618	20,00	2,00	541,00	33,00	2,00	IGOR SOARES	545,00	793	598	195	0,37	99,27	0,37	-46,9285620	-23,5409510
L08619	84,00	18,00	3062,00	175,00	19,00	IGOR SOARES	3099,00	4356	3358	998	0,58	98,81	0,61	-46,9306599	-23,5633290
L08620	81,00	28,00	2152,00	215,00	33,00	IGOR SOARES	2213,00	3438	2509	929	1,27	97,24	1,49	-46,9367130	-23,5518639
L08621	45,00	23,00	1637,00	86,00	9,00	IGOR SOARES	1669,00	2393	1800	593	1,38	98,08	0,54	-46,9391689	-23,5510413
L08622	96,00	45,00	4857,00	318,00	41,00	IGOR SOARES	4943,00	6879	5357	1522	0,91	98,26	0,83	-46,9373180	-23,5561139
L08623	91,00	49,00	3250,00	192,00	25,00	IGOR SOARES	3324,00	4601	3607	994	1,47	97,77	0,75	-46,9480212	-23,5549934
L08624	146,00	35,00	3785,00	251,00	49,00	IGOR SOARES	3869,00	5426	4266	1160	0,90	97,83	1,27	-46,9272520	-23,5479542
L08625	86,00	36,00	3199,00	221,00	42,00	IGOR SOARES	3277,00	4787	3584	1203	1,10	97,62	1,28	-46,9394721	-23,5427496
L08626	41,00	5,00	932,00	74,00	10,00	IGOR SOARES	947,00	1328	1062	266	0,53	98,42	1,06	-46,9696936	-23,5303153
L08627	129,00	30,00	3486,00	256,00	24,00	IGOR SOARES	3540,00	5459	3925	1534	0,85	98,47	0,68	-46,9210517	-23,5348427
L08628	64,00	22,00	2547,00	157,00	31,00	IGOR SOARES	2600,00	3669	2821	848	0,85	97,96	1,19	-46,9390760	-23,5435309
L08629	103,00	31,00	3495,00	189,00	82,00	IGOR SOARES	3608,00	5110	3900	1210	0,86	96,87	2,27	-46,9496690	-23,5613520
L08630	68,00	29,00	2587,00	145,00	18,00	IGOR SOARES	2634,00	3648	2847	801	1,10	98,22	0,68	-46,9629421	-23,5530029
L08631	104,00	31,00	3015,00	228,00	14,00	IGOR SOARES	3060,00	4276	3392	884	1,01	98,53	0,46	-46,9110209	-23,5525458
L08632	137,00	45,00	4208,00	288,00	21,00	IGOR SOARES	4274,00	5819	4699	1120	1,05	98,46	0,49	-46,9216217	-23,5592043
L08633	47,00	28,00	2019,00	143,00	15,00	IGOR SOARES	2062,00	2860	2252	608	1,36	97,91	0,73	-46,9316388	-23,5594476
L08634	165,00	68,00	4640,00	293,00	61,00	IGOR SOARES	4769,00	7185	5227	1958	1,43	97,30	1,28	-46,9407146	-23,5517777
L08635	82,00	42,00	2031,00	149,00	37,00	IGOR SOARES	2110,00	3114	2341	773	1,99	96,26	1,75	-46,9331600	-23,5503026
L08636	68,00	18,00	2391,00	130,00	19,00	IGOR SOARES	2428,00	3429	2626	803	0,74	98,48	0,78	-46,9222219	-23,5362928
L08637	79,00	35,00	2558,00	163,00	22,00	IGOR SOARES	2615,00	3658	2857	801	1,34	97,82	0,84	-46,9414960	-23,5551100
L08638	57,00	19,00	1626,00	111,00	29,00	IGOR SOARES	1674,00	2318	1842	476	1,14	97,13	1,73	-46,9261824	-23,5434109
L08639	46,00	9,00	1382,00	75,00	4,00	IGOR SOARES	1395,00	1812	1516	296	0,65	99,07	0,29	-46,9558022	-23,5444051
L08640	35,00	10,00	780,00	68,00	3,00	IGOR SOARES	793,00	1141	896	245	1,26	98,36	0,38	-47,0068932	-23,5436288
